# about.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><span class="here">about</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><span class="here">о проекте</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="packs.html">packs</a>\n    <a href="resources.html">resources</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-about">steam</a>\n  </span>	<span class="links">\n    <a href="manual/index.html">руководство (бета)</a>\n    <a href="packs.html">наборы</a>\n    <a href="resources.html">материалы</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-about">steam</a>\n  </span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <span class="r"><a href="packs.html">packs</a><a href="resources.html">resources</a><a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-about">steam</a></span>\n  </span>	<span class="nav-mobile">\n    <a href="home.html">главная</a>\n    <span class="r"><a href="packs.html">наборы</a><a href="resources.html">материалы</a><a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-about">steam</a></span>\n  </span>
<div class="crumb">Technical Reference</div>	<div class="crumb">Технический справочник</div>
<h1>How FlashBoss Teaches</h1>	<h1>Как FlashBoss учит</h1>
<p class="subtitle">Content architecture, session mechanics, the boss-fight graduation system, and the design elements at play.</p>	<p class="subtitle">Архитектура контента, механика сессий, система освоения через босс-файт и используемые элементы дизайна.</p>
<div class="toc-title">Contents</div>	<div class="toc-title">Содержание</div>
<li><a href="#overview">Overview</a></li>	<li><a href="#overview">Обзор</a></li>
<li><a href="#architecture">Content architecture</a></li>	<li><a href="#architecture">Архитектура контента</a></li>
<li><a href="#masters">Masters</a></li>	<li><a href="#masters">Мастера</a></li>
<li><a href="#packs">Pack structure</a></li>	<li><a href="#packs">Структура набора</a></li>
<li><a href="#session">Session structure and scheduling</a></li>	<li><a href="#session">Структура сессии и расписание</a></li>
<li><a href="#fight">The boss fight</a></li>	<li><a href="#fight">Босс-файт</a></li>
