# home.html — en<TAB>ru
<title>FlashBoss — Flashcards with Boss Fights</title>	<title>FlashBoss — Карточки с босс-файтами</title>
content="FlashBoss: spaced-repetition flashcards with boss fights. Build a real vocabulary: English, German, Spanish, Italian, French, Esperanto, or Toki Pona. Five packs free, the rest on Steam. Listen, read, repeat, rate, fight."	content="FlashBoss: карточки с интервальным повторением и босс-файтами. Соберите настоящий словарный запас: английский, немецкий, испанский, итальянский, французский, эсперанто или токи пона. Пять наборов бесплатно, остальные — в Steam. Слушай, читай, повторяй, оценивай, сражайся."
<span class="here">home</span>	<span class="here">главная</span>
>walkthrough (beta)</a>	>руководство (бета)</a>
>voices</a>	>голоса</a>
>resources</a>	>материалы</a>
</a> required for Windows&nbsp;10	</a> требуется для Windows&nbsp;10
 &mdash; Available on Steam &mdash; 	 &mdash; Доступно в Steam &mdash; 
<p class="sig reveal">spaced-repetition with boss fights</p>	<p class="sig reveal">интервальное повторение и босс-файты</p>
<p class="lede reveal">Build a real vocabulary: <b><a href="packs.html">English</a>, <a href="german.html">German</a>, <a href="spanish.html">Spanish</a>, <a href="italian.html">Italian</a>, <a href="french.html">French</a>, <a href="esperanto.html">Esperanto</a>, or <a href="toki-pona.html">Toki Pona</a></b> — then prove it in a duel.</p>	<p class="lede reveal">Соберите настоящий словарный запас: <b><a href="packs.html">английский</a>, <a href="german.html">немецкий</a>, <a href="spanish.html">испанский</a>, <a href="italian.html">итальянский</a>, <a href="french.html">французский</a>, <a href="esperanto.html">эсперанто</a> или <a href="toki-pona.html">токи пона</a></b> — а потом докажите это в дуэли.</p>
>word lists</a>	>списки слов</a>
>lessons</a>	>уроки</a>
<span class="tag">Listen · read · repeat · rate · fight</span>	<span class="tag">Слушай · читай · повторяй · оценивай · сражайся</span>
<h2>The FlashBoss approach</h2>	<h2>Метод FlashBoss</h2>
<p class="body">The target vocabulary is grouped into thematic clusters with progressively longer, and more complex example sentences and explanatory notes. Each cluster ends in a boss fight.</p>	<p class="body">Изучаемая лексика сгруппирована в тематические блоки: примеры в них становятся всё длиннее и сложнее, а пояснения — подробнее. Каждый блок завершается босс-файтом.</p>
<p class="body">Before you can defeat the boss, you must answer to the words you found most challenging. Win, and those cards graduate.</p>	<p class="body">Чтобы одолеть босса, придётся ответить на те слова, которые дались вам труднее всего. Победите — и эти карточки считаются освоенными.</p>
<span class="tag">The cards themselves</span>	<span class="tag">Сами карточки</span>
<h2>Cascading display</h2>	<h2>Каскадное раскрытие</h2>
<p><b>Target word</b> — presented with visual cues to aid retention. Current review intervals are shown in stars.</p>	<p><b>Изучаемое слово</b> — с визуальными подсказками, которые помогают запоминанию. Текущие интервалы повторения показаны звёздами.</p>
