# italian.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">Italian</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Итальянский</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="resources.html">resources</a>\n    <a class="steam" href="https://store.steampowered.com/app/4475030/FlashBoss__Italian_Core/?utm_source=website" target="_blank" rel="noopener">steam</a>\n  </span>	<span class="links">\n    <a href="manual/index.html">руководство (бета)</a>\n    <a href="resources.html">материалы</a>\n    <a class="steam" href="https://store.steampowered.com/app/4475030/FlashBoss__Italian_Core/?utm_source=website" target="_blank" rel="noopener">Steam</a>\n  </span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <span class="r"><a href="resources.html">resources</a><a href="https://store.steampowered.com/app/4475030/FlashBoss__Italian_Core/?utm_source=website" target="_blank" rel="noopener">steam</a></span>\n  </span>	<span class="nav-mobile">\n    <a href="home.html">главная</a>\n    <span class="r"><a href="resources.html">материалы</a><a href="https://store.steampowered.com/app/4475030/FlashBoss__Italian_Core/?utm_source=website" target="_blank" rel="noopener">Steam</a></span>\n  </span>
<p class="tagline reveal">Learn the language you need to feel at home.</p>	<p class="tagline reveal">Выучите язык, который нужен, чтобы чувствовать себя как дома.</p>
<p class="sig reveal">Listen · Read · Repeat · Rate · Fight</p>	<p class="sig reveal">Слушай · Читай · Повторяй · Оценивай · Сражайся</p>
<p class="lede reveal">You begin with <b class="it">Sono uno studente.</b> By the end you're on the nine o'clock train to your <b>nonna</b>'s.</p>	<p class="lede reveal">Вы начинаете с <b class="it">Sono uno studente.</b> К концу вы уже в девятичасовом поезде к своей <b>nonna</b>.</p>
<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=Italian">Word Lists</a>\n        <a class="btn" href="lessons.html?lang=Italian">Lessons</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Try the demo</a>\n      </div>	<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=Italian">Списки слов</a>\n        <a class="btn" href="lessons.html?lang=Italian">Уроки</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Попробовать демо</a>\n      </div>
<span class="tag">Italian core design</span>	<span class="tag">Дизайн Italian Core</span>
<h2>From guest to family</h2>	<h2>От гостя к семье</h2>
<p class="body">Italian Core is one thousand words across five tiers, sequenced as a homecoming. The first three tiers are the Italy you <b>visit</b> — the piazza, the table, the market at eight in the morning. Survival, daily life, then the first real conversations and the past tense to tell them in. <span class="it">La dolce vita</span>, taught straight.</p>	<p class="body">Italian Core — это тысяча слов на пяти уровнях, выстроенных как возвращение домой. Первые три уровня — это Италия, которую вы <b>посещаете</b> — площадь, стол, рынок в восемь утра. Выживание, повседневная жизнь, затем первые настоящие разговоры и прошедшее время, чтобы в них рассказывать. <span class="it">La dolce vita</span>, преподаётся напрямую.</p>
<p class="body">Then it turns inward. The later tiers are the Italy you <b>belong</b> to — the <span class="it">imperfetto</span> that lets you narrate your summers, the idioms nobody translates for an outsider, and the register that quietly sorts family from tourist.</p>	<p class="body">Затем она обращается внутрь. Более поздние уровни — это Италия, которой вы <b>принадлежите</b> — <span class="it">imperfetto</span>, которое позволяет рассказывать о ваших летних каникулах, идиомы, которые никто не переводит для постороннего, и регистр, который незаметно отделяет семью от туриста.</p>
