# spanish.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">Spanish</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Испанский</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="resources.html">resources</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134880/FlashBoss__Spanish_Core/?utm_source=website" target="_blank" rel="noopener">steam</a>\n  </span>	<span class="links">\n    <a href="manual/index.html">руководство (бета)</a>\n    <a href="resources.html">материалы</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134880/FlashBoss__Spanish_Core/?utm_source=website" target="_blank" rel="noopener">steam</a>\n  </span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <span class="r"><a href="resources.html">resources</a><a href="https://store.steampowered.com/app/4134880/FlashBoss__Spanish_Core/?utm_source=website" target="_blank" rel="noopener">steam</a></span>\n  </span>	<span class="nav-mobile">\n    <a href="home.html">главная</a>\n    <span class="r"><a href="resources.html">материалы</a><a href="https://store.steampowered.com/app/4134880/FlashBoss__Spanish_Core/?utm_source=website" target="_blank" rel="noopener">steam</a></span>\n  </span>
<p class="tagline reveal">Learn the language as you learn the culture.</p>	<p class="tagline reveal">Изучайте язык, познавая культуру.</p>
<p class="sig reveal">Listen · Read · Repeat · Rate · Fight</p>	<p class="sig reveal">Слушай · Читай · Повторяй · Оценивай · Сражайся</p>
<p class="lede reveal">You begin with <b class="es">Hola, me llamo…</b> By the end the subtitles are off — the film, the song, the whole conversation, understood. <b>Latin American Spanish</b>, the way it's really spoken.</p>	<p class="lede reveal">Вы начинаете с <b class="es">Hola, me llamo…</b> К концу субтитры выключены — фильм, песня, весь разговор понят. <b>Латиноамериканский испанский</b> — именно так, как говорят на самом деле.</p>
<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=Spanish">Word Lists</a>\n        <a class="btn" href="lessons.html?lang=Spanish">Lessons</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Try the demo</a>\n      </div>	<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=Spanish">Список слов</a>\n        <a class="btn" href="lessons.html?lang=Spanish">Уроки</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Попробовать демо</a>\n      </div>
<span class="tag">Spanish core design</span>	<span class="tag">Spanish Core</span>
<h2>A smooth learning arc</h2>	<h2>Плавная кривая обучения</h2>
<p class="sub es">Sin barreras — without barriers.</p>	<p class="sub es">Sin barreras — без барьеров.</p>
<p class="body">You begin with first contact and the people around you, and the colour of Latin American life just keeps saturating: food and home, then friendship and work, then media and feeling, until you arrive at identity, character, and the idioms that carry a culture's humour.</p>	<p class="body">Вы начинаете с первого контакта и людей вокруг вас, и колорит латиноамериканской жизни становится всё насыщеннее: еда и дом, затем дружба и работа, затем медиа и чувства, пока вы не добираетесь до идентичности, характера и идиом, которые несут юмор культуры.</p>
