# german.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">German</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Немецкий</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="resources.html">resources</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website" target="_blank" rel="noopener">steam</a>\n  </span>	<span class="links">\n    <a href="manual/index.html">руководство (бета)</a>\n    <a href="resources.html">материалы</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website" target="_blank" rel="noopener">steam</a>\n  </span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <span class="r"><a href="resources.html">resources</a><a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website" target="_blank" rel="noopener">steam</a></span>\n  </span>	<span class="nav-mobile">\n    <a href="home.html">главная</a>\n    <span class="r"><a href="resources.html">материалы</a><a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website" target="_blank" rel="noopener">steam</a></span>\n  </span>
<h1 class="reveal">Deutsch<span class="cursor"></span></h1>	<h1 class="reveal">Немецкий<span class="cursor"></span></h1>
<p class="tagline reveal">Learn the language as you learn the culture.</p>	<p class="tagline reveal">Учите язык, познавая культуру.</p>
<p class="sig reveal">Listen · Read · Repeat · Rate · Fight</p>	<p class="sig reveal">Слушай · Читай · Повторяй · Оценивай · Сражайся</p>
<p class="lede reveal">You begin saying <b class="de">Ich bin Student.</b> By the end you are reading the letter from the <b>Finanzamt</b> — and you know exactly what it wants. German Core carries you from arrival to survival.</p>	<p class="lede reveal">Вы начинаете с фразы <b class="de">Ich bin Student.</b> В конце вы уже читаете письмо из <b>Finanzamt</b> — и точно знаете, что оно хочет. German Core ведёт вас от прибытия к выживанию.</p>
<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=German">Word Lists</a>\n        <a class="btn" href="lessons.html?lang=German">Lessons</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Try the demo</a>\n      </div>	<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=German">Списки слов</a>\n        <a class="btn" href="lessons.html?lang=German">Уроки</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Попробовать демо</a>\n      </div>
<h2>Get talking</h2>	<h2>Начинайте говорить</h2>
<p class="sub">A thousand words across five tiers — the foundation of everyday German.</p>	<p class="sub">1000 слов на пяти уровнях — основа повседневного немецкого.</p>
<p class="body">German Core ships free with FlashBoss — built as flashcards with reference lessons that unlock as you go — greetings, daily life, getting around, your first real conversations.</p>	<p class="body">German Core поставляется бесплатно с FlashBoss — создан в виде карточек со справочными уроками, которые открываются по мере прохождения — приветствия, повседневная жизнь, передвижение, ваши первые настоящие разговоры.</p>
