# wordlists.html — en<TAB>ru. Multi-line values use \n.
<title>Free Printable Word Lists — Italian, German, Spanish, French, Esperanto &amp; Toki Pona Vocabulary | FlashBoss</title>	<title>Бесплатные списки слов для печати — итальянский, немецкий, испанский, французский, эсперанто и токи пона | FlashBoss</title>
content="Free, printable vocabulary word lists for Italian, German, Spanish, French, Esperanto and Toki Pona. The most useful words in each language, frequency-ranked and grouped by tier and theme, each with its English translation. Hide the translations to self-test, or print a cluster and cut your own flashcards."	content="Бесплатные списки слов для печати: итальянский, немецкий, испанский, французский, эсперанто и токи пона. Самые полезные слова каждого языка, отсортированные по частотности и сгруппированные по уровням и темам, каждое с переводом. Спрячьте переводы, чтобы проверить себя, или распечатайте блок и нарежьте собственные карточки."
<span class="here">word lists</span>	<span class="here">списки слов</span>
<a href="home.html">home</a>	<a href="home.html">главная</a>
<a class="nav-home" href="home.html">home</a>	<a class="nav-home" href="home.html">главная</a>
>resources</a>	>материалы</a>
>lessons</a>	>уроки</a>
<h1>Word Lists</h1>	<h1>Списки слов</h1>
<p>Free, printable vocabulary lists for every FlashBoss language — <b><a href="packs.html">English</a>, <a href="italian.html">Italian</a>, <a href="german.html">German</a>, <a href="spanish.html">Spanish</a>, <a href="french.html">French</a>, <a href="esperanto.html">Esperanto</a>, and <a href="toki-pona.html">Toki Pona</a></b>. The most useful words in each language, frequency-ranked and grouped into thematic clusters across five tiers, each paired with its English translation. Hide the translations to test yourself, or print a cluster and cut your own flashcards. Free to use however you like. <a href="#" class="howlink" id="howBtn">How it works &rarr;</a></p>	<p>Бесплатные списки слов для печати по каждому языку FlashBoss — <b><a href="packs.html">английский</a>, <a href="italian.html">итальянский</a>, <a href="german.html">немецкий</a>, <a href="spanish.html">испанский</a>, <a href="french.html">французский</a>, <a href="esperanto.html">эсперанто</a> и <a href="toki-pona.html">токи пона</a></b>. Самые полезные слова каждого языка, отсортированные по частотности и сгруппированные в тематические блоки по пяти уровням. Спрячьте переводы, чтобы проверить себя, или распечатайте блок и нарежьте собственные карточки. Пользуйтесь как угодно и бесплатно. <a href="#" class="howlink" id="howBtn">Как это работает &rarr;</a></p>\n    <p class="ru-gloss-note" style="margin-top:10px; font-size:13px; opacity:.75;">Переводы слов пока показаны по-английски: русские глоссарии ещё готовятся.</p>
<label for="packSel">Pack</label>	<label for="packSel">Набор</label>
<label id="setLbl" for="setSel">Set</label>	<label id="setLbl" for="setSel">Раздел</label>
<label for="clusterTrigger">Clusters</label>	<label for="clusterTrigger">Блоки</label>
aria-expanded="false">select cluster(s)</button>	aria-expanded="false">выберите блоки</button>
<span class="msel-hint">Shift-click for a contiguous range</span>	<span class="msel-hint">Shift+клик — выбрать диапазон</span>
<button class="btn" id="printBtn">Print</button>	<button class="btn" id="printBtn">Печать</button>
aria-label="Translations"	aria-label="Переводы"
<h3>Using the word lists</h3>	<h3>Как пользоваться списками</h3>
<li><b>Pick a language and set</b> with the Pack and Set menus.</li>	<li><b>Выберите язык и раздел</b> в меню «Набор» и «Раздел».</li>
<li><b>Choose clusters:</b> open <i>Clusters</i>, click one, then <b>Shift-click</b> another to take a contiguous range (Ctrl / &#8984;-click adds single ones). Click <b>OK</b>, press <b>Enter</b>, or click outside to close.</li>	<li><b>Выберите блоки:</b> откройте <i>Блоки</i>, щёлкните по одному, затем <b>Shift+клик</b> по другому — возьмётся весь диапазон (Ctrl / &#8984;+клик добавляет по одному). Нажмите <b>OK</b> или <b>Enter</b> либо щёлкните мимо, чтобы закрыть.</li>
<li><b>Translations</b> toggle: on shows word + translation; off hides them so you can self-test — and prints word-only cards.</li>	<li>Переключатель <b>«Переводы»</b>: включён — слово и перевод; выключен — переводы скрыты, чтобы проверить себя, и на печать идут карточки только со словами.</li>
<li><b>Print:</b> the selected clusters print as cut-out, foldable flashcards — word and translation side by side with a centre fold line. Several clusters print together to save paper.</li>	<li><b>Печать:</b> выбранные блоки печатаются как карточки под вырезание и сгиб — слово и перевод рядом, по центру линия сгиба. Несколько блоков печатаются вместе, чтобы сэкономить бумагу.</li>
<p class="modal-note">Card borders may not appear in your browser's print preview — they are present on the actual printout.</p>	<p class="modal-note">В предпросмотре печати рамки карточек могут не отображаться — на самой распечатке они есть.</p>
<button type="button" class="btn" id="howClose">Got it</button>	<button type="button" class="btn" id="howClose">Понятно</button>
>share</button>	>поделиться</button>
aria-label="Share"	aria-label="Поделиться"
aria-label="Close"	aria-label="Закрыть"
<div class="share-card-title">Share</div>	<div class="share-card-title">Поделиться</div>
