# english.html — en<TAB>ru
<title>English — FlashBoss</title>	<title>Английский — FlashBoss</title>
content="FlashBoss English: learn English as a foreign language in a German, Spanish, Japanese, or Simplified Chinese learning interface. English Core, Pareto 1 and Pareto 2 — 1,000 words each, every card translated and annotated in the learner's language, with spaced repetition, boss fights, and text-to-speech."	content="FlashBoss English: английский как иностранный, с учебным интерфейсом на немецком, испанском, японском или упрощённом китайском. English Core, Pareto 1 и Pareto 2 — по 1000 слов, каждая карточка с переводом и пояснениями на языке учащегося, с интервальным повторением, босс-файтами и озвучкой."
<span class="here">English</span>	<span class="here">английский</span>
<a href="home.html">home</a>	<a href="home.html">главная</a>
<a href="packs.html">packs</a>	<a href="packs.html">наборы</a>
>walkthrough (beta)</a>	>руководство (бета)</a>
>resources</a>	>материалы</a>
<p class="kicker reveal">English Core out now · <b>1,000 words</b> · 40 clusters · 38 lessons</p>	<p class="kicker reveal">English Core уже вышел · <b>1000 слов</b> · 40 блоков · 38 уроков</p>
<h1 class="reveal">English<span class="cursor"></span></h1>	<h1 class="reveal">Английский<span class="cursor"></span></h1>
<p class="tagline reveal">The world's second language, taught as one.</p>	<p class="tagline reveal">Второй язык всего мира — и преподаётся он именно так.</p>
<p class="sig reveal">Listen · Read · Repeat · Rate · Fight</p>	<p class="sig reveal">Слушай · Читай · Повторяй · Оценивай · Сражайся</p>
<p class="lede reveal">You're reading this page in English — so the course is probably not for you. It teaches <b>English as a foreign language</b>, in a German, Spanish, Japanese, or Simplified Chinese learning interface, and it never explains English in English.</p>	<p class="lede reveal">Курс учит <b>английскому как иностранному</b> и никогда не объясняет английский по-английски. Учебный интерфейс есть на немецком, испанском, японском и упрощённом китайском — <b>русского среди них нет</b>.</p>
>Get FlashBoss on Steam &rarr;</a>	>Купить FlashBoss в Steam &rarr;</a>
>Try the demo</a>	>Попробовать демо</a>
>All packs</a>	>Все наборы</a>
<span class="tag">the store page says it plainly</span>	<span class="tag">на странице магазина сказано прямо</span>
<h2>Not available in English</h2>	<h2>Недоступно на английском</h2>
<p class="sub">That isn't a gap in the localization table. It's the design.</p>	<p class="sub">Это не дыра в таблице локализации. Это замысел.</p>
<p class="body">Every card teaches one English word — with a <b>translation</b>, a <b>translated example sentence</b>, and <b>study notes</b> in the learner's language. The whole game speaks that language too, menus to boss fights. From the first card, English is the thing being learned, never the thing doing the explaining.</p>	<p class="body">Каждая карточка учит одному английскому слову — с <b>переводом</b>, <b>переведённым примером</b> и <b>пояснениями</b> на языке учащегося. На этом же языке говорит и вся игра — от меню до босс-файтов. С первой карточки английский — то, чему учат, а не то, чем объясняют.</p>
<p class="body">If English is your first language, this program teaches words you already know. Your English packs are <b>Adept</b> and <b>Advance</b> — already free in the base game — and the <a href="latin-roots.html">Roots Series</a> is where your own climb continues.</p>	<p class="body">Если английский — ваш родной язык, эта программа учит словам, которые вы и так знаете. Ваши английские наборы — <b>Adept</b> и <b>Advance</b>, они уже бесплатны в базовой игре, а <a href="latin-roots.html">серия Roots</a> — то, куда двигаться дальше.</p>
<div class="h">For the learner</div>	<div class="h">Тем, кто учится</div>
<p>The first 3,000 words of English in three packs, met entirely in German, Spanish, Japanese, or Simplified Chinese.</p>	<p>Первые 3000 английских слов в трёх наборах — целиком на немецком, испанском, японском или упрощённом китайском.</p>
<div class="h">For the native speaker</div>	<div class="h">Носителям языка</div>
<p>A page to pass along — and <a href="packs.html">Adept, Advance, and the Roots Series</a> for the English you don't have yet.</p>	<p>Страница, которую стоит передать дальше, — и <a href="packs.html">Adept, Advance и серия Roots</a> для того английского, которого у вас ещё нет.</p>
<span class="tag">English Core design</span>	<span class="tag">устройство English Core</span>
<h2>The first thousand words</h2>	<h2>Первая тысяча слов</h2>
<p class="sub">Five tiers, forty clusters of 25 cards, each cluster gated by a boss fight.</p>	<p class="sub">Пять уровней, сорок блоков по 25 карточек, и каждый блок закрыт босс-файтом.</p>
<p class="body">English Core is the highest-frequency thousand, walked in order: the engine verbs and little words that run every English sentence, then people and home, the town and the working day, and by the fifth tier the language of law, state, and the wider world. The example sentences grow with you and never run ahead of what you've been taught.</p>	<p class="body">English Core — это тысяча самых частотных слов, пройденная по порядку: сначала базовые глаголы и служебные слова, на которых держится любое английское предложение, затем люди и дом, город и рабочий день, а к пятому уровню — язык права, государства и большого мира. Примеры растут вместе с вами и никогда не забегают вперёд пройденного.</p>
<div class="t">Tier 1</div><p>The core engine — have, go, the little words — first footing, people &amp; home, how it feels.</p>	<div class="t">Уровень 1</div><p>Основа основ — have, go, служебные слова — первая опора, люди и дом, чувства.</p>
<div class="t">Tier 2</div><p>Body &amp; heart, time &amp; measure, kith &amp; kin, getting it done, town &amp; table.</p>	<div class="t">Уровень 2</div><p>Тело и душа, время и мера, родня и близкие, дела, город и стол.</p>
<div class="t">Tier 3</div><p>Work, verbs in motion, time &amp; place, law &amp; order, out in the world.</p>	<div class="t">Уровень 3</div><p>Работа, глаголы движения, время и место, закон и порядок, выход в мир.</p>
<div class="t">Tier 4</div><p>Crime &amp; court, folk &amp; feeling, school &amp; work, land &amp; place, gathering pace.</p>	<div class="t">Уровень 4</div><p>Преступление и суд, люди и чувства, школа и работа, земля и место, набор скорости.</p>
<div class="t">Tier 5</div><p>Strife &amp; law, state &amp; law, everyday scenes, raising the stakes — to the last page.</p>	<div class="t">Уровень 5</div><p>Споры и право, государство и закон, повседневные сцены, рост ставок — до последней страницы.</p>
<span class="tag">one card, four languages</span>	<span class="tag">одна карточка, четыре языка</span>
<h2>The learner's language, on every card</h2>	<h2>Язык учащегося — на каждой карточке</h2>
<p class="sub">Card 1 of English Core — the word <b style="color:inherit;">have</b> — exactly as it ships, in each of the four.</p>	<p class="sub">Первая карточка English Core — слово <b style="color:inherit;">have</b> — ровно в том виде, в каком она выходит, на каждом из четырёх языков.</p>
<p class="quad-note">These are machine translations, and we say so plainly — then every card is machine-checked twice by independent systems, and what fails the check is fixed by hand before it ships. All 3,000 cards across the program carry all four languages, with no gaps.</p>	<p class="quad-note">Это машинный перевод, и мы говорим об этом прямо — но затем каждая карточка дважды проверяется независимыми системами, а всё, что проверку не прошло, правится вручную до выпуска. Все 3000 карточек программы содержат все четыре языка, без пропусков.</p>
<h2>The road to 3,000</h2>	<h2>Путь к 3000</h2>
<p class="sub">Three packs, 1,000 words each, in sequence. Core is out; the store pages for both extensions are already up.</p>	<p class="sub">Три набора по 1000 слов, один за другим. Core уже вышел; страницы обоих продолжений в магазине уже открыты.</p>
<div class="lvl">A1–A2 · 1,000 words · 38 lessons</div>	<div class="lvl">A1–A2 · 1000 слов · 38 уроков</div>
<div class="lvl">1,000 words</div>	<div class="lvl">1000 слов</div>
<p>The highest-frequency thousand, in five tiers — the foundation everything else stands on. Requires the base game.</p>	<p>Тысяча самых частотных слов на пяти уровнях — фундамент, на котором держится всё остальное. Требуется базовая игра.</p>
<span class="now">out now</span>	<span class="now">уже вышел</span>
<p>The next thousand by frequency — the same method, one tier higher. Requires Core.</p>	<p>Следующая тысяча по частотности — тот же метод, на уровень выше. Требуется Core.</p>
<p>The third thousand of the journey — the long tail that reads like fluency. Requires Pareto 1.</p>	<p>Третья тысяча пути — длинный хвост, который уже читается как свободное владение. Требуется Pareto 1.</p>
<span class="soon">next in sequence</span>	<span class="soon">следующий по порядку</span>
<span class="tag">How it sticks</span>	<span class="tag">как это запоминается</span>
<h2>Flashcards as an integrated system</h2>	<h2>Карточки как единая система</h2>
<dt>Fibonacci SRS</dt><dd>Rate each card 0–5. The better you know a word, the longer before it returns — spaced repetition on Fibonacci intervals.</dd>	<dt>Интервалы по Фибоначчи</dt><dd>Оценивайте каждую карточку от 0 до 5. Чем лучше вы знаете слово, тем позже оно вернётся — интервальное повторение по числам Фибоначчи.</dd>
<dt>Boss fights</dt><dd>Each of the forty clusters is gated by a duel you can't win without confronting and overcoming your most difficult words.</dd>	<dt>Босс-файты</dt><dd>Каждый из сорока блоков закрыт дуэлью, которую не выиграть, не встретившись лицом к лицу со своими самыми трудными словами и не одолев их.</dd>
<dt>Graduation</dt><dd>Beat a cluster and its cards leave your daily deck for good. The deck gets smaller as you learn.</dd>	<dt>Выпуск</dt><dd>Пройдите блок — и его карточки навсегда покидают вашу ежедневную колоду. Чем больше вы знаете, тем меньше колода.</dd>
<dt>Your language</dt><dd>Translation, translated example, and study notes in German, Spanish, Japanese, and Simplified Chinese on every card — and the interface speaks all four, plus English.</dd>	<dt>Ваш язык</dt><dd>Перевод, переведённый пример и пояснения на немецком, испанском, японском и упрощённом китайском на каждой карточке — и интерфейс говорит на всех четырёх плюс английском.</dd>
