# resources.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><span class="here">resources</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><span class="here">материалы</span></span>
<span class="links">\n    <a href="about.html">about</a>\n    <a href="packs.html">packs</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-resources">steam</a>\n    <a href="#faq">FAQ</a>\n  </span>	<span class="links">\n    <a href="about.html">о проекте</a>\n    <a href="packs.html">наборы</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-resources">steam</a>\n    <a href="#faq">FAQ</a>\n  </span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <span class="r"><a href="about.html">about</a></span>\n  </span>	<span class="nav-mobile">\n    <a href="home.html">главная</a>\n    <span class="r"><a href="about.html">о проекте</a></span>\n  </span>
<h1>The Public Library</h1>	<h1>Публичная библиотека</h1>
<p class="hero-quote">&ldquo;A library is not a luxury but one of the necessities of life.&rdquo;<br><span class="qcite">&mdash; Henry Ward Beecher</span></p>	<p class="hero-quote">&ldquo;Библиотека — это не роскошь, а одна из жизненных необходимостей.&rdquo;<br><span class="qcite">&mdash; Генри Уорд Бичер</span></p>
<p>Every FlashBoss pack is built from two things: a <b>word list</b> and a set of <b>reference lessons</b>. Available here — free to read, free to print, or to use as you like without restriction.</p>	<p>Каждый набор FlashBoss состоит из двух вещей: <b>списка слов</b> и набора <b>справочных уроков</b>. Доступны здесь — бесплатно читать, бесплатно печатать или использовать по своему усмотрению без ограничений.</p>
<p>FlashBoss is the structured learning system that combines them: Fibonacci-derived spaced repetition for adaptive study sessions, a choice of master guides and difficulty, boss fights, audio, and a structured, distraction-free learning environment.</p>	<p>FlashBoss — это структурированная система обучения, которая объединяет их: интервальное повторение на основе Фибоначчи для адаптивных учебных сессий, выбор мастер-гидов и сложности, босс-файты, аудио и структурированную, свободную от отвлечений учебную среду.</p>
<span class="tag">Study &amp; print</span>	<span class="tag">Изучение &amp; печать</span>
<h2>Word lists</h2>	<h2>Списки слов</h2>
<p class="lead">Every word in every pack, laid out by tier and cluster — <b>target word and translation, nothing in the way</b>. Hide the translations to quiz yourself, or print a cluster and cut your own flashcards.</p>	<p class="lead">Каждое слово в каждом наборе, разложенное по уровням и блокам — <b>целевое слово и перевод, ничего лишнего</b>. Спрячьте переводы, чтобы проверить себя, или распечатайте блок и вырежьте собственные карточки.</p>
<a class="go" href="wordlists.html?lang=English&amp;set=Adept">Open the word directory &rarr;</a>	<a class="go" href="wordlists.html?lang=English&amp;set=Adept">Открыть каталог слов &rarr;</a>
<div class="langs">\n        <span class="lbl">Jump to</span>\n        <a href="wordlists.html?lang=Italian">Italian</a>\n        <a href="wordlists.html?lang=German">German</a>\n        <a href="wordlists.html?lang=Spanish">Spanish</a>\n        <a href="wordlists.html?lang=Esperanto">Esperanto</a>\n      </div>	<div class="langs">\n        <span class="lbl">Перейти к</span>\n        <a href="wordlists.html?lang=Italian">Итальянский</a>\n        <a href="wordlists.html?lang=German">Немецкий</a>\n        <a href="wordlists.html?lang=Spanish">Испанский</a>\n        <a href="wordlists.html?lang=Esperanto">Эсперанто</a>\n      </div>
<span class="tag">Read &amp; learn</span>	<span class="tag">Читай и учись</span>
<h2>Lessons</h2>	<h2>Уроки</h2>
<p class="lead">The reference lessons that fire inside FlashBoss — <b>pronunciation, grammar, usage</b> — rendered exactly as they appear in the terminal. Organised by language and tier, each one unlocking what you're about to read. Tap any line to hear it.</p>	<p class="lead">Справочные уроки, которые запускаются внутри FlashBoss — <b>произношение, грамматика, употребление</b> — отображаемые в точности, как они появляются в терминале. Организованы по языку и уровню, каждый открывает то, что вы собираетесь читать. Нажмите на любую строку, чтобы услышать её.</p>
<a class="go green" href="lessons.html?lang=English&amp;set=Adept">Open the lessons &rarr;</a>	<a class="go green" href="lessons.html?lang=English&amp;set=Adept">Открыть уроки &rarr;</a>
<div class="langs">\n        <span class="lbl">Jump to</span>\n        <a href="lessons.html?lang=Italian">Italian</a>\n        <a href="lessons.html?lang=German">German</a>\n        <a href="lessons.html?lang=Spanish">Spanish</a>\n        <a href="lessons.html?lang=Esperanto">Esperanto</a>\n      </div>	<div class="langs">\n        <span class="lbl">Перейти к</span>\n        <a href="lessons.html?lang=Italian">Итальянский</a>\n        <a href="lessons.html?lang=German">Немецкий</a>\n        <a href="lessons.html?lang=Spanish">Испанский</a>\n        <a href="lessons.html?lang=Esperanto">Эсперанто</a>\n      </div>
<span class="tag">Print</span>	<span class="tag">Печать</span>
<h2>Reference sheets</h2>	<h2>Шпаргалки</h2>
<p class="lead">One-page references built to print and pin up. More arrive as each pack ships.</p>	<p class="lead">Одностраничные справочники, которые можно распечатать и повесить на стену. Новые появляются по мере выхода каждого набора.</p>
<span class="go soon" aria-disabled="true">Coming soon</span>	<span class="go soon" aria-disabled="true">Скоро</span>
<span class="tag">Questions</span>	<span class="tag">Вопросы</span>
<h2>FAQ</h2>	<h2>ЧаВо</h2>
<p class="lead"><b>How do I start?</b> As a beginner, just start &mdash; tier 1 builds everything from the ground up. Already know some of the language? Take the Tier Skip Challenge: a placement test in BossRun format, three chances per attempt. Pass it and you skip the tier.</p>	<p class="lead"><b>С чего начать?</b> Если вы новичок, просто начните &mdash; уровень 1 объясняет всё с нуля. Уже знаете часть языка? Пройдите вызов пропуска уровня: проверочный тест в формате BossRun, три попытки на каждую. Сдайте его — и вы пропустите уровень.</p>
<p class="lead"><b>Interface stuck in the wrong language?</b> Ctrl+L opens the language menu from almost anywhere in the program &mdash; English, German, Japanese, Spanish.</p>	<p class="lead"><b>Интерфейс застрял на неправильном языке?</b> Ctrl+L открывает меню языка почти из любого места в программе &mdash; английский, немецкий, японский, испанский.</p>
<a href="home.html">Home</a>	<a href="home.html">Главная</a>
<a href="about.html">About</a>	<a href="about.html">О программе</a>
<button class="share-toggle" type="button" aria-expanded="false">Share</button>	<button class="share-toggle" type="button" aria-expanded="false">Поделиться</button>
<div class="share-card-title">Share</div>	<div class="share-card-title">Поделиться</div>
<button class="share-btn" data-share="copy" type="button">copy link</button>	<button class="share-btn" data-share="copy" type="button">скопировать ссылку</button>
