filename	text
001_1_1.ogg	Mann, Tag, alt
001_1_2.ogg	essen, Bett, zehn
001_1_3.ogg	vier, Kino, Kind
001_1_4.ogg	Sohn, rot, Ort
001_1_5.ogg	Uhr, Mut, Buch
001_2_1.ogg	Käse, Mädchen, Männer
001_2_2.ogg	schön, hören, können
001_2_3.ogg	über, Tür, Übung
001_2_4.ogg	Straße, groß, Fuß
001_3_1.ogg	Wasser, Wein, wir
001_3_2.ogg	Vater, vier, von
001_3_3.ogg	ja, Jahr, jetzt
001_3_4.ogg	Zeit, zehn, zu
001_3_5.ogg	ich, acht, auch
001_4_1.ogg	braun, Haus, Auto
001_4_2.ogg	ein, mein, Mai
001_4_3.ogg	neu, heute, Deutsch
001_4_4.ogg	Bier, Tier, Spiel
001_4_5.ogg	Frauen, bauen, klauen, teuer, Steuer, Abenteuer
001_5_1.ogg	sprechen, haben
001_5_2.ogg	Katze, bitte
001_5_3.ogg	Vater, Mutter
001_5_4.ogg	gab, Urlaub, halb, Rad, Kind, Hund, Tag, Zug, weg
001_6_1.ogg	Bisher, Gasheizung
001_6_2.ogg	Rathaus, Mathilde
001_6_3.ogg	Pferd, Apfel, Kopf
001_6_4.ogg	Knie, Knabe, Knopf
001_6_5.ogg	singen, lang, Finger
001_7_1.ogg	spielen, Straße, Student
001_7_2.ogg	Buch, auch, Dach, noch
001_7_3.ogg	ich, nicht, Bücher, Mädchen
001_7_4.ogg	rot, Brot, Frage, Vater, Mutter
005_1_1.ogg	eins, zwei, drei, vier, fünf, sechs
005_1_2.ogg	sieben, acht, neun, zehn, elf, zwölf
005_1_3.ogg	drei plus zehn ist dreizehn, drei plus zick ist dreißig, vierzehn, vierzig, siebzehn, siebzig, und nicht sieben zehn und sieben zick
005_2_1.ogg	Mein PIN ist zwo zwo acht vier
005_2_2.ogg	Es ist drei Uhr. Es ist halb vier.
005_2_3.ogg	zwanzig, vierzig, hundert, sechstausend, zweitausendsechshundertachtundzwanzig
005_3_1.ogg	erste, zweite, dritte, vierte, fünfte, sechste, siebte, achte, neunte
005_3_2.ogg	zwanzigste, einundzwanzigste, dreißigste, hundertste
005_3_3.ogg	der erste Mann, die zweite Frau, das dritte Kind
005_3_4.ogg	Am dritten Mai
024_1_1.ogg	aufstehen. . verstehen.
