# latin-roots.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">Latin Roots</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Latin Roots</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="resources.html">resources</a>\n    <a class="steam" href="https://store.steampowered.com/app/4475070/FlashBoss__Latin_Roots/?utm_source=website">steam</a>\n  </span>	<span class="links">\n    <a href="manual/index.html">руководство (бета)</a>\n    <a href="resources.html">материалы</a>\n    <a class="steam" href="https://store.steampowered.com/app/4475070/FlashBoss__Latin_Roots/?utm_source=website">steam</a>\n  </span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <span class="r"><a href="resources.html">resources</a><a href="https://store.steampowered.com/app/4475070/FlashBoss__Latin_Roots/?utm_source=website">steam</a></span>\n  </span>	<span class="nav-mobile">\n    <a href="home.html">главная</a>\n    <span class="r"><a href="resources.html">материалы</a><a href="https://store.steampowered.com/app/4475070/FlashBoss__Latin_Roots/?utm_source=website">steam</a></span>\n  </span>
<p class="kicker reveal">The Roots Series · <b>Latin</b></p>	<p class="kicker reveal">Серия Roots · <b>Latin</b></p>
<p class="tagline reveal">Stop learning English one word at a time.</p>	<p class="tagline reveal">Перестаньте учить английский по одному слову за раз.</p>
<p class="sig reveal">Listen · Read · Repeat · Rate · Fight</p>	<p class="sig reveal">Слушай · Читай · Повторяй · Оценивай · Сражайся</p>
<p class="lede reveal">Nobody with a large vocabulary built it word by word. They learned to read the parts. Meet <b class="lat">irreparable</b> and you can take it to pieces on sight — <span class="pre">ir</span>·<span class="pre">re</span>·<span class="rt">par</span>·<span class="suf">able</span>, "not able to be made ready again" — and read its meaning straight off the surface.</p>	<p class="lede reveal">Никто не строил свой большой словарный запас слово за словом. Они научились читать части. Встретьте <b class="lat">irreparable</b> и вы сможете разобрать его на части с ходу — <span class="pre">ir</span>·<span class="pre">re</span>·<span class="rt">par</span>·<span class="suf">able</span>, «нельзя снова сделать пригодным» — и прочитать его значение прямо с поверхности.</p>
<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=English&amp;set=Latin%20Roots">Word List</a>\n        <a class="btn" href="lessons.html?lang=English&amp;set=Latin%20Roots">Lessons</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Try the demo</a>\n      </div>	<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=English&amp;set=Latin%20Roots">Список слов</a>\n        <a class="btn" href="lessons.html?lang=English&amp;set=Latin%20Roots">Уроки</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Попробовать демо</a>\n      </div>
<span class="tag">how vocabulary grows</span>	<span class="tag">как растёт словарный запас</span>
<h2>The sum of its parts</h2>	<h2>Сумма его частей</h2>
<p class="sub">Learn the parts, and the words assemble themselves.</p>	<p class="sub">Выучите части, и слова соберутся сами.</p>
