# toki-pona.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">Toki Pona</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Toki Pona</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="resources.html">resources</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-toki-pona">steam</a>\n  </span>	<span class="links"><a href="manual/index.html">руководство (beta)</a><a href="resources.html">материалы</a><a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-toki-pona">steam</a></span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <span class="r"><a href="resources.html">resources</a><a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-toki-pona">steam</a></span>\n  </span>	<span class="nav-mobile"><a href="home.html">главная</a><span class="r"><a href="resources.html">материалы</a><a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-toki-pona">steam</a></span></span>
<p class="kicker reveal">Base game · <b>included free</b></p>	<p class="kicker reveal">Базовая игра · <b>включено бесплатно</b></p>
<p class="tagline reveal">A whole language. Around 140 words.</p>	<p class="tagline reveal">Целый язык. Около 140 слов.</p>
<p class="sig reveal">Listen · Read · Repeat · Rate · Fight</p>	<p class="sig reveal">Слушай · Читай · Повторяй · Оценивай · Сражайся</p>
<p class="lede reveal">You begin with <b class="tp" lang="tok">toki!</b> — hello. Five hundred cards later there is nothing left of the language to meet. <b>Free</b>, inside the base game.</p>	<p class="lede reveal">Вы начинаете с <b class="tp" lang="tok">toki!</b> — привет. Через пятьсот карточек от языка не останется ничего, что можно было бы узнать. <b>Бесплатно</b>, в составе базовой игры.</p>
<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=Toki%20Pona">Word Lists</a>\n        <a class="btn" href="lessons.html?lang=Toki%20Pona">Lessons</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Try the demo</a>\n      </div>	<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=Toki%20Pona">Список слов</a>\n        <a class="btn" href="lessons.html?lang=Toki%20Pona">Уроки</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Попробовать демо</a>\n      </div>
<span class="tag">Toki Pona core design</span>	<span class="tag">Дизайн ядра Toki Pona</span>
<h2>The whole language, not a slice</h2>	<h2>Весь язык, а не кусочек</h2>
<p class="sub tp" lang="tok">toki pona — the language of good.</p>	<p class="sub tp" lang="tok">toki pona — язык добра.</p>
<p class="body">Toki Pona is a constructed language built as an experiment in minimalism: around 140 words, and a question underneath them — how much can you say with almost nothing? There are no tenses to conjugate, no genders to memorise, no irregular anything. Spelling is phonetic: say what you see, and you have said it right.</p>	<p class="body">Toki Pona — это искусственный язык, созданный как эксперимент в минимализме: около 140 слов и вопрос под ними — сколько можно сказать почти ничем? Здесь нет времён для спряжения, нет родов для запоминания, никаких исключений. Написание фонетическое: скажи то, что видишь, и ты сказал правильно.</p>
<p class="body">What is left is combination. <b class="tp" lang="tok">tomo tawa</b>, a moving structure, is a car. <b class="tp" lang="tok">ilo toki</b>, a talking tool, is a telephone. And because the vocabulary is so small, each word has to stretch: <b class="tp" lang="tok">pona</b> is good, simple, useful and kind at once. You stop reaching for the exact word and start deciding what you actually meant — which is the point of the whole exercise.</p>	<p class="body">Остаётся комбинация. <b class="tp" lang="tok">tomo tawa</b>, движущаяся конструкция, — это машина. <b class="tp" lang="tok">ilo toki</b>, инструмент для разговора, — это телефон. А поскольку словарный запас так мал, каждое слово должно растягиваться: <b class="tp" lang="tok">pona</b> — это хорошее, простое, полезное и доброе одновременно. Ты перестаёшь искать точное слово и начинаешь решать, что ты на самом деле имел в виду — в чём и заключается смысл всего упражнения.</p>
<p class="body">Most languages are too big to finish. This one is not. FlashBoss teaches all of it in <b>500 cards</b> across <b>22 clusters</b> and <b>5 tiers</b>: 178 single-word entries — every content word and every grammar particle the course teaches, the book vocabulary plus the community words that have earned their place beside it — 250 compound phrases, and 72 sentences built from them.</p>	<p class="body">Большинство языков слишком велики, чтобы их выучить. Этот — нет. FlashBoss учит всему этому в <b>500 карточках</b> в <b>22 блоках</b> и <b>5 уровнях</b>: 178 записей из одного слова — каждое знаменательное слово и каждую грамматическую частицу, которые преподаёт курс, словарный запас из книги плюс слова сообщества, заслужившие своё место рядом с ним, — 250 составных фраз и 72 предложения, построенных из них.</p>
<div class="t">Tier 1</div>	<div class="t">Уровень 1</div>
<p>First words, people and pronouns, good and bad, wanting and coming.</p>	<p>Первые слова, люди и местоимения, хорошо и плохо, хотеть и приходить.</p>
<div class="t">Tier 2</div>	<div class="t">Уровень 2</div>
<p>Work and origins, feelings and food, home and tools, giving and playing.</p>	<p>Работа и происхождение, чувства и еда, дом и инструменты, давать и играть.</p>
<div class="t">Tier 3</div>	<div class="t">Уровень 3</div>
<p>Sleep and sunlight, ways and books, numbers and money, sound and community.</p>	<p>Сон и солнечный свет, пути и книги, числа и деньги, звук и сообщество.</p>
<div class="t">Tier 4</div>	<div class="t">Уровень 4</div>
<p>Death and cycles, sky and air, body and darkness, heat and plants, fruit and family.</p>	<p>Смерть и циклы, небо и воздух, тело и тьма, тепло и растения, фрукты и семья.</p>
<div class="t">Tier 5</div>	<div class="t">Уровень 5</div>
<p>Moons and clothing, colours and creatures, birds and beasts — and the bonus words.</p>	<p>Луны и одежда, цвета и существа, птицы и звери — и бонусные слова.</p>
<span class="tag">The whole pack, counted</span>	<span class="tag">Весь набор, подсчитано</span>
<h2>Five tiers, twenty-two clusters</h2>	<h2>Пять уровней, двадцать два блока</h2>
<p class="sub">Each cluster ends in a boss fight. Beat it and those cards leave your daily deck for good.</p>	<p class="sub">Каждый блок завершается босс-файтом. Победите его, и эти карточки навсегда исчезнут из вашей ежедневной колоды.</p>
<th scope="col">Tier</th>	<th scope="col">Уровень</th>
<th scope="col" class="n">Clusters</th>	<th scope="col" class="n">Блоки</th>
<th scope="col" class="n">Cards</th>	<th scope="col" class="n">Карточки</th>
<th scope="col">What you meet</th>	<th scope="col">Что вас ждёт</th>
<td class="t">Tier 1</td>	<td class="t">Уровень 1</td>
<td class="w">The first words, people and pronouns, good and bad, wanting and coming. Seven grammar lessons land here — you are making sentences on day one.</td>	<td class="w">Первые слова, люди и местоимения, хорошее и плохое, желание и приход. Семь уроков грамматики попадают сюда — вы составляете предложения уже в первый день.</td>
<td class="t">Tier 2</td>	<td class="t">Уровень 2</td>
<td class="w">Work and origins, feelings and food, home and tools, giving and playing.</td>	<td class="w">Работа и происхождение, чувства и еда, дом и инструменты, дарение и игра.</td>
<td class="t">Tier 3</td>	<td class="t">Уровень 3</td>
<td class="w">Sleep and sunlight, ways and books, numbers and money, sound and community.</td>	<td class="w">Сон и солнечный свет, пути и книги, числа и деньги, звук и сообщество.</td>
<td class="t">Tier 4</td>	<td class="t">Уровень 4</td>
<td class="w">Death and cycles, sky and air, body and darkness, heat and plants, fruit and family.</td>	<td class="w">Смерть и циклы, небо и воздух, тело и тьма, тепло и растения, фрукты и семья.</td>
<td class="t">Tier 5</td>	<td class="t">Уровень 5</td>
<td class="w">Moons and clothing, colours and creatures, birds and beasts, and two clusters of bonus words from beyond the book.</td>	<td class="w">Луны и одежда, цвета и существа, птицы и звери, а также два блока бонусных слов из-за пределов книги.</td>
<td class="t">Total</td>	<td class="t">Итого</td>
<td class="w">One pack. The complete language.</td>	<td class="w">Один набор. Весь язык.</td>
<span class="tag">Watch it grow up</span>	<span class="tag">Смотрите, как он растёт</span>
<h2>Progressively more challenging</h2>	<h2>Постепенно усложняется</h2>
<p class="sub">The example sentences increase in complexity tier by tier.</p>	<p class="sub">Примеры предложений усложняются от уровня к уровню.</p>
<li class="reveal"><span class="ger tp" lang="tok">mi jan pona sina.</span><span class="en">I am your friend.</span></li>	<li class="reveal"><span class="ger tp" lang="tok">mi jan pona sina.</span><span class="en">Я твой друг.</span></li>
<li class="reveal"><span class="ger tp" lang="tok">sina wile e pona la, sina o pali.</span><span class="en">If you want good things, you should work for them.</span></li>	<li class="reveal"><span class="ger tp" lang="tok">sina wile e pona la, sina o pali.</span><span class="en">Если хочешь хорошего, работай ради этого.</span></li>
<li class="reveal"><span class="ger tp" lang="tok">jan pi sona pona li toki e nasin pona tawa jan lili.</span><span class="en">The wise person teaches the good way to children.</span></li>	<li class="reveal"><span class="ger tp" lang="tok">jan pi sona pona li toki e nasin pona tawa jan lili.</span><span class="en">Мудрый человек учит детей правильному пути.</span></li>
<li class="reveal"><span class="ger tp" lang="tok">jan sona li sona e ni: ona li sona ala e ale.</span><span class="en">A wise person knows this: they don't know everything.</span></li>	<li class="reveal"><span class="ger tp" lang="tok">jan sona li sona e ni: ona li sona ala e ale.</span><span class="en">Мудрый человек знает: он не знает всего.</span></li>
<li class="reveal"><span class="ger tp" lang="tok">telo li tawa anpa lon nasin ale.</span><span class="en">Water always flows downward, whatever the path.</span></li>	<li class="reveal"><span class="ger tp" lang="tok">telo li tawa anpa lon nasin ale.</span><span class="en">Вода всегда течёт вниз, по какому бы пути ни шла.</span></li>
<span class="tag">Build it from parts</span>	<span class="tag">Собери из частей</span>
<h2>Two small words, one new one</h2>	<h2>Два маленьких слова, одно новое</h2>
<p class="sub">There are no genders to colour-code here — so FlashBoss shows you the thing that actually matters. A modifier always follows the word it modifies, and the pair means something neither half does alone. Two hundred and fifty cards in this pack are exactly that.</p>	<p class="sub">Здесь нет родов, которые нужно раскрашивать, — поэтому FlashBoss показывает вам то, что действительно важно. Модификатор всегда стоит после слова, которое он модифицирует, и пара означает то, что не означает ни одна из половин по отдельности. В этом наборе ровно двести пятьдесят таких карточек.</p>
<div class="legend">\n        <span><i class="lh"></i> head — what the thing is</span>\n        <span><i class="lm"></i> modifier — what kind of thing it is</span>\n      </div>	<div class="legend">\n        <span><i class="lh"></i> head — чем является вещь</span>\n        <span><i class="lm"></i> модификатор — какая это вещь</span>\n      </div>
<div class="gloss"><b>car</b> — <i>tomo</i> (house, building, indoor space) + <i>tawa</i> (moving): a room that moves</div>	<div class="gloss"><b>машина</b> — <i>tomo</i> (дом, здание, помещение) + <i>tawa</i> (движущийся): комната, которая движется</div>
<div class="gloss"><b>telephone</b> — <i>ilo</i> (tool, device) + <i>toki</i> (to speak): a talking tool</div>	<div class="gloss"><b>телефон</b> — <i>ilo</i> (инструмент, устройство) + <i>toki</i> (говорить): говорящий инструмент</div>
<div class="gloss"><b>computer</b> — <i>ilo</i> (tool) + <i>nanpa</i> (number): the number machine</div>	<div class="gloss"><b>компьютер</b> — <i>ilo</i> (инструмент) + <i>nanpa</i> (число): машина чисел</div>
<div class="gloss"><b>library</b> — <i>tomo</i> (building) + <i>lipu</i> (paper, book, document): the building of documents</div>	<div class="gloss"><b>библиотека</b> — <i>tomo</i> (здание) + <i>lipu</i> (бумага, книга, документ): здание документов</div>
<div class="gloss"><b>alcohol</b> — <i>telo</i> (water, liquid) + <i>nasa</i> (strange, intoxicated): the liquid that makes you strange</div>	<div class="gloss"><b>алкоголь</b> — <i>telo</i> (вода, жидкость) + <i>nasa</i> (странный, опьянённый): жидкость, которая делает вас странным</div>
