filename	text
001_1_1.ogg	casa, agua, hablar
001_1_2.ogg	mesa, comer, verde
001_1_3.ogg	sí, vivir, fino
001_1_4.ogg	como, todo, hoja
001_1_5.ogg	mucho, uno, gusto
001_2_1.ogg	hola, hablar, hacer
001_2_2.ogg	jugar, trabajar, rojo
001_2_3.ogg	llamar, calle, lluvia
001_2_4.ogg	mañana, año, niño
001_2_5.ogg	perro, carro, arroz
001_3_1.ogg	vivir, verde, vamos
001_3_2.ogg	zapato, vez, corazón
001_3_3.ogg	cine, hacer, ciudad
001_3_4.ogg	casa, como, cuando
001_3_5.ogg	gente, página, general
002_1_1.ogg	el gato, el vaso, el mercado
002_1_2.ogg	la mesa, la persona, la comida
002_1_3.ogg	la mano, el día, el problema, el agua
003_1_1.ogg	yo hablo, tú hablas, él habla, nosotros hablamos, ellos hablan
003_2_1.ogg	yo como, tú comes, él come, nosotros comemos, ellos comen
003_2_2.ogg	yo vivo, tú vives, él vive, nosotros vivimos, ellos viven
004_1_1.ogg	hay un problema, hay libros, hay agua, no hay tiempo
005_1_1.ogg	soy, eres, es, somos, son
005_1_2.ogg	estoy, estás, está, estamos, están
005_1_3.ogg	tengo, tienes, tiene, tenemos, tienen
005_1_4.ogg	voy, vas, va, vamos, van
005_2_1.ogg	soy estudiante, ella es inteligente, somos de México
005_2_2.ogg	estoy cansado, ella está feliz, estamos en casa
005_3_1.ogg	ser aburrido, estar aburrido
005_3_2.ogg	ser listo, estar listo, ser malo, estar malo
005_3_3.ogg	soy, eres, es, somos, son
005_3_4.ogg	estoy, estás, está, estamos, están
006_1_1.ogg	me gusta el café, te gusta bailar, le gusta la música, nos gusta viajar
006_1_2.ogg	me gustan los gatos, me gustan las películas
007_1_1.ogg	qué, quién, dónde, cuándo, por qué, cómo, cuál, cuánto
007_1_2.ogg	qué quieres, dónde está el baño, cuánto cuesta, por qué no
008_1_1.ogg	hablar, habla, mirar, mira
008_1_2.ogg	comer, come, escribir, escribe
008_1_3.ogg	decir, di, hacer, haz, ir, ve, poner, pon, salir, sal, tener, ten, venir, ven
008_2_1.ogg	voy a comer, vas a estudiar, vamos a salir
008_2_2.ogg	voy, vas, va, vamos, van
008_2_3.ogg	estoy hablando, está comiendo
009_1_1.ogg	me llamo, te llamas, se llama, nos llamamos, se llaman
009_1_2.ogg	levantarse, sentirse, acostarse, ducharse, vestirse
010_1_1.ogg	no es difícil, no hablo francés
010_1_2.ogg	nada, nadie, nunca, ninguno, tampoco
010_1_3.ogg	no voy nunca, no tengo nada, no viene nadie
011_1_1.ogg	el gato blanco, la gata blanca, los gatos blancos, las gatas blancas
011_1_2.ogg	el chico grande, la chica grande
011_1_3.ogg	el chico español, la chica española
012_1_1.ogg	yo hablé, tú hablaste, él habló, nosotros hablamos, ellos hablaron
012_1_2.ogg	yo comí, tú comiste, él comió, nosotros comimos, ellos comieron
012_2_1.ogg	fui, fuiste, fue, fuimos, fueron
012_2_2.ogg	hice, hiciste, hizo, hicimos, hicieron
012_2_3.ogg	tuve, tuviste, tuvo, tuvimos, tuvieron
012_2_4.ogg	estuve, estuviste, estuvo, estuvimos
012_2_5.ogg	dije, dijiste, dijo, dijimos, dijeron
013_2_1.ogg	lo quiero, me gusta
013_2_2.ogg	voy a decirte algo, quiero comprarlo
013_2_3.ogg	estoy haciéndolo
013_2_4.ogg	lo quiero comprar, quiero comprarlo
014_1_1.ogg	yo hablaba, tú hablabas, él hablaba, nosotros hablábamos, ellos hablaban
014_1_2.ogg	yo comía, tú comías, él comía, nosotros comíamos, ellos comían
014_2_1.ogg	ayer comí pizza
014_2_2.ogg	de niño comía pizza todos los viernes
014_2_3.ogg	llovía cuando salí de casa
015_1_1.ogg	estudio para aprender, es para ti, salgo para Madrid, es para el lunes
015_1_2.ogg	lo cambié por otro, gracias por todo, caminé por dos horas, por eso no fui
016_1_1.ogg	yo hablaría, él hablaría, nosotros hablaríamos, ellos hablarían
016_1_2.ogg	me gustaría un café, podrías ayudarme, yo no haría eso
017_1_1.ogg	quiero, quieres, quiere, queremos, quieren
017_1_2.ogg	puedo, puedes, puede, podemos, pueden
017_1_3.ogg	pido, pides, pide, pedimos, piden
018_1_1.ogg	yo hablaré, tú hablarás, él hablará, nosotros hablaremos, ellos hablarán
018_1_2.ogg	tener, tendré, poder, podré, hacer, haré, decir, diré, salir, saldré, venir, vendré
019_1_1.ogg	hable, hables, hable, hablemos, hablen
019_1_2.ogg	coma, comas, coma, comamos, coman
019_1_3.ogg	quiero que vengas, espero que estés bien
019_2_1.ogg	quiero que estudies
019_2_2.ogg	me alegra que estés aquí
019_2_3.ogg	no creo que sea verdad
019_2_4.ogg	ojalá llueva mañana
020_1_1.ogg	he, has, ha, hemos, han
020_1_2.ogg	he comido, has visto eso, hemos terminado
020_2_1.ogg	hacer, hecho, decir, dicho, ver, visto, escribir, escrito, abrir, abierto, volver, vuelto, romper, roto, poner, puesto
020_3_1.ogg	he comido hoy
020_3_2.ogg	comí ayer
020_3_3.ogg	ya había comido cuando llegaste
022_1_1.ogg	quiero que vengas, te pido que me ayudes
022_1_2.ogg	me alegra que estés aquí, es triste que no pueda venir
022_2_1.ogg	no creo que sea verdad, dudo que lo sepa
022_3_1.ogg	antes de que, para que, a menos que, sin que
022_3_2.ogg	llámame antes de que salgas, estudio para que mis padres estén orgullosos
023_1_1.ogg	la persona que vi, el libro que compré
023_1_2.ogg	la mujer con quien hablé
023_1_3.ogg	la ciudad donde nací
023_1_4.ogg	lo que dices es verdad
024_1_1.ogg	ella es más alta que yo
024_1_2.ogg	este libro es menos interesante que el otro
024_1_3.ogg	soy tan alto como tú
024_1_4.ogg	trabajo tanto como ella
024_2_1.ogg	es la ciudad más bonita del mundo, es el día menos ocupado
024_2_2.ogg	mejor, peor, mayor, menor, ella es mayor que yo, es el mejor restaurante de la ciudad
025_1_1.ogg	la casa fue construida en mil novecientos noventa
025_1_2.ogg	la puerta está cerrada
025_1_3.ogg	la ventana fue rota por el niño, la ventana está rota
026_1_1.ogg	he hablado
026_1_2.ogg	había hablado, ya había comido cuando llegaste
026_1_3.ogg	habré hablado, para junio habré terminado el curso
026_2_1.ogg	habría hablado, habría ido si me hubieras invitado
027_1_1.ogg	me lo dio, te la compré, nos los trajeron
027_1_2.ogg	se lo di, se la compré, se los trajeron
027_2_1.ogg	se lo quiero dar
027_2_2.ogg	quiero dárselo
027_2_3.ogg	dárselo, decírmelo, comprándosela
028_1_1.ogg	si llueve, me quedo en casa
028_1_2.ogg	si tuviera dinero, viajaría
028_1_3.ogg	si hubiera estudiado, habría aprobado
029_1_1.ogg	el libro fue escrito por Cervantes, la ley será aprobada mañana
029_1_2.ogg	se habla español aquí, se venden coches usados, se construyó el puente en un año
029_2_1.ogg	se habla español
029_2_2.ogg	se dice que, se puede entrar
029_2_3.ogg	ella se llama María
029_2_4.ogg	se me cayó el vaso, se nos olvidó
