# greek-roots.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">Greek Roots</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Greek Roots</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="resources.html">resources</a>\n    <a class="steam" href="https://store.steampowered.com/app/4992480?utm_source=website">steam</a>\n  </span>	<span class="links">\n    <a href="manual/index.html">руководство (бета)</a>\n    <a href="resources.html">материалы</a>\n    <a class="steam" href="https://store.steampowered.com/app/4992480?utm_source=website">steam</a>\n  </span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <span class="r"><a href="resources.html">resources</a><a href="https://store.steampowered.com/app/4992480?utm_source=website">steam</a></span>\n  </span>	<span class="nav-mobile">\n    <a href="home.html">главная</a>\n    <span class="r"><a href="resources.html">материалы</a><a href="https://store.steampowered.com/app/4992480?utm_source=website">steam</a></span>\n  </span>
<p class="kicker reveal">The Roots Series · <b>Greek</b></p>	<p class="kicker reveal">Серия Roots · <b>Greek</b></p>
<p class="tagline reveal">The hardest words in English are the easiest to read.</p>	<p class="tagline reveal">Самые сложные слова в английском — самые лёгкие для чтения.</p>
<p class="sig reveal">Listen · Read · Repeat · Rate · Fight</p>	<p class="sig reveal">Слушай · Читай · Повторяй · Оценивай · Сражайся</p>
<p class="lede reveal">Nobody memorises <b class="gk">cardiomyopathy</b>. They read it — <span class="rt">cardio</span>·<span class="rt">myo</span>·<span class="suf">pathy</span>, heart + muscle + suffering: a disease of the heart muscle, spelled out in Greek parts. The longer the word, the more it tells you.</p>	<p class="lede reveal">Никто не запоминает <b class="gk">cardiomyopathy</b>. Они читают его — <span class="rt">cardio</span>·<span class="rt">myo</span>·<span class="suf">pathy</span>, сердце + мышца + страдание: болезнь сердечной мышцы, записанная греческими частями. Чем длиннее слово, тем больше оно вам говорит.</p>
<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=English&amp;set=Greek%20Roots">Word List</a>\n        <a class="btn" href="lessons.html?lang=English&amp;set=Greek%20Roots">Lessons</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Try the demo</a>\n      </div>	<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=English&amp;set=Greek%20Roots">Список слов</a>\n        <a class="btn" href="lessons.html?lang=English&amp;set=Greek%20Roots">Уроки</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Попробовать демо</a>\n      </div>
<span class="tag">where science keeps its names</span>	<span class="tag">где наука хранит свои названия</span>
<h2>The layer above Latin</h2>	<h2>Слой над латынью</h2>
<p class="sub">When English needs to name something precisely, it reaches for Greek.</p>	<p class="sub">Когда английскому нужно назвать что-то точно, он обращается к греческому.</p>
<p class="body">English does its everyday work in Germanic words and its arguing in Latin — but its <b>naming</b> is Greek. Telescope, democracy, xenophobia, chromosome, bradycardia: every one assembled from a small kit of Greek parts, the same few pieces recombined across technology, politics, biology, and medicine.</p>	<p class="body">Английский язык выполняет свою повседневную работу на германских словах, а свои споры — на латыни — но его <b>наименования</b> — греческие. Телескоп, демократия, ксенофобия, хромосома, брадикардия: каждое собрано из небольшого набора греческих частей, одних и тех же нескольких элементов, перекомбинированных в технологии, политике, биологии и медицине.</p>
<p class="body">The kit is small and ruthlessly regular. Learn <b>-phobia</b> once and claustrophobia and xenophobia open together. Learn <b>-ology</b> and you hold the name of every science at once. This is the vocabulary of textbooks, journals, and hospital charts — the register where precision is the whole point — and it is built to be read, not memorised.</p>	<p class="body">Набор мал и безжалостно регулярен. Выучите <b>-phobia</b> один раз, и клаустрофобия с ксенофобией откроются вместе. Выучите <b>-ology</b> — и вы держите название каждой науки сразу. Это словарь учебников, журналов и больничных карт — регистр, где точность — вся суть — и он создан для чтения, а не для запоминания.</p>
<div class="h">The parts</div>	<div class="h">Части</div>
<p>A few dozen Greek prefixes, roots, and suffixes — the pieces science and medicine build every name from.</p>	<p>Несколько десятков греческих префиксов, корней и суффиксов — элементов, из которых наука и медицина строят каждое название.</p>
<div class="h">The whole</div>	<div class="h">Целое</div>
<p>Read a five-syllable monster apart into its parts, and it turns out to be a plain sentence in disguise.</p>	<p>Прочитайте пятисложного монстра по частям, и окажется, что это обычное предложение в маскировке.</p>
<span class="tag">Take it apart</span>	<span class="tag">Разберите его</span>
<h2>A word is an assembly</h2>	<h2>Слово — это сборка</h2>
<p class="sub">Every word here is colour-coded by part. Tap one to take it to pieces.</p>	<p class="sub">Каждое слово здесь раскрашено по частям. Нажмите на одно, чтобы разобрать его на части.</p>
<div class="legend">\n        <span><i class="lp"></i> prefix — direction &amp; position</span>\n        <span><i class="lr"></i> root — the carried meaning</span>\n        <span><i class="ls"></i> suffix — part of speech</span>\n      </div>	<div class="legend">\n        <span><i class="lp"></i> приставка — направление и положение</span>\n        <span><i class="lr"></i> корень — несомое значение</span>\n        <span><i class="ls"></i> суффикс — часть речи</span>\n      </div>
<div class="gloss-top">an instrument that magnifies distant objects using lenses or mirrors</div>	<div class="gloss-top">прибор, который увеличивает удаленные объекты с помощью линз или зеркал</div>
<div class="parts">\n            <span class="m pre">tele<i>far</i></span>\n            <span class="m rt">scope<i>look, view</i></span>\n          </div>	<div class="parts">\n            <span class="m pre">tele<i>далеко</i></span>\n            <span class="m rt">scope<i>смотреть, вид</i></span>\n          </div>
<div class="sum">far + look → an instrument for looking far</div>	<div class="sum">далеко + смотреть → инструмент для смотрения вдаль</div>
<div class="hint">tap to take apart</div>	<div class="hint">нажмите, чтобы разобрать</div>
<div class="gloss-top">a picture made using a camera and recorded light</div>	<div class="gloss-top">изображение, созданное с помощью камеры и записанного света</div>
<div class="parts">\n            <span class="m rt">photo<i>light</i></span>\n            <span class="m rt">graph<i>write, draw</i></span>\n          </div>	<div class="parts">\n            <span class="m rt">photo<i>свет</i></span>\n            <span class="m rt">graph<i>писать, рисовать</i></span>\n          </div>
<div class="sum">light + write → written with light</div>	<div class="sum">свет + писать → написанное светом</div>
<div class="whole">democracy</div>	<div class="whole">демократия</div>
<div class="gloss-top">a system of government in which power is held by the people</div>	<div class="gloss-top">система правления, при которой власть принадлежит народу</div>
<div class="parts">\n            <span class="m rt">demo<i>the people</i></span>\n            <span class="m suf">cracy<i>rule by</i></span>\n          </div>	<div class="parts"> <span class="m rt">demo<i>народ</i></span> <span class="m suf">cracy<i>правление</i></span> </div>
<div class="sum">people + rule → rule by the people</div>	<div class="sum">народ + правление → правление народа</div>
<div class="gloss-top">intense dislike, distrust, or fear of people from other countries</div>	<div class="gloss-top">сильная неприязнь, недоверие или страх перед людьми из других стран</div>
<div class="parts">\n            <span class="m rt">xeno<i>stranger, foreign</i></span>\n            <span class="m rt">phob<i>fear</i></span>\n            <span class="m suf">ia<i>condition</i></span>\n          </div>	<div class="parts"> <span class="m rt">xeno<i>чужой, иностранный</i></span> <span class="m rt">phob<i>страх</i></span> <span class="m suf">ia<i>состояние</i></span> </div>
<div class="sum">stranger + fear → fear of the foreign</div>	<div class="sum">чужой + страх → страх перед чужим</div>
<h2>The toolkit you start with</h2>	<h2>Инструментарий, с которого вы начинаете</h2>
<p class="sub">The pack opens in the Greek you already own — the technology in your pocket speaks it.</p>	<p class="sub">Набор открывается на греческом, который у вас уже есть — технология в вашем кармане говорит на нём.</p>
