# voices.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">voices</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">голоса</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="about.html">how it works</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-voices">steam</a>\n  </span>	<span class="links">\n    <a href="manual/index.html">руководство (бета)</a>\n    <a href="about.html">как это работает</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-voices">steam</a>\n  </span>
<span class="nav-mobile">\n    <a href="manual/index.html">walkthrough</a>\n    <span class="r"><a href="about.html">how it works</a><a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-voices">steam</a></span>\n  </span>	<span class="nav-mobile">\n    <a href="manual/index.html">руководство</a>\n    <span class="r"><a href="about.html">как это работает</a><a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-voices">steam</a></span>\n  </span>
<div class="crumb">Voices</div>	<div class="crumb">Голоса</div>
<h1>What it sounds like</h1>	<h1>Как это звучит</h1>
<p class="lede">FlashBoss pronounces every card, and the built-in PiperTTS window (open with <b>Ctrl + P</b> in-game) allows you to type or paste any text for pronunciation in your target language. Scroll down to see examples for each voice.</p>	<p class="lede">FlashBoss произносит каждую карточку, а встроенное окно PiperTTS (открывается по <b>Ctrl + P</b> в игре) позволяет вводить или вставлять любой текст для произношения на изучаемом языке. Прокрутите вниз, чтобы увидеть примеры для каждого голоса.</p>
<div class="doors"> <a class="btn" href="manual/index.html">Playthrough Manual</a> <a class="btn ghost" href="about.html">Technical Manual</a> </div>	<div class="doors"> <a class="btn" href="manual/index.html">Руководство по игре</a> <a class="btn ghost" href="about.html">Техническое руководство</a> </div>
<h2>Included with FlashBoss</h2>	<h2>Входит в состав FlashBoss</h2>
<span class="note">free · no purchase</span>	<span class="note">бесплатно · без покупки</span>
<p class="sec-intro">These two come with the game itself. Install FlashBoss and they are already there.</p>	<p class="sec-intro">Эти два поставляются с самой игрой. Установите FlashBoss, и они уже там.</p>
<div class="name">American English</div>	<div class="name">Американский английский</div>
<div class="meta">United States · female</div>	<div class="meta">США · женский</div>
<div class="where">Speaks <b>every English pack</b> — Core, Pareto 1 and 2, Advance, Adept, and all four Roots courses.</div>	<div class="where">Озвучивает <b>все английские наборы</b> — Core, Pareto 1 и 2, Advance, Adept, и все четыре курса Roots.</div>
<div class="gloss">Two cards from English Core.</div>	<div class="gloss">Две карточки из English Core.</div>
<div class="name">Esperanto (F)</div>	<div class="name">Esperanto (жен.)</div>
<div class="meta">no country · female</div>	<div class="meta">нет страны · женский</div>
<div class="where">Speaks <b>Toki Pona</b>, which is free in the base game, and the <b>Esperanto</b> courses. Trained for FlashBoss, because no good Esperanto voice existed.</div>	<div class="where">Говорит на <b>Toki Pona</b>, который бесплатен в базовой игре, и на курсах <b>эсперанто</b>. Обучен для FlashBoss, потому что не существовало хорошего голоса для эсперанто.</div>
<div class="gloss">The price of that book is very low, so I will buy it.</div>	<div class="gloss">Цена той книги очень низкая, поэтому я куплю её.</div>
<div class="credit">FlashBoss · CC0 1.0 · trained on Mozilla Common Voice</div>	<div class="credit">FlashBoss · CC0 1.0 · обучен на Mozilla Common Voice</div>
<h2>Included with a pack</h2>	<h2>Входит в набор</h2>
<span class="note">buy the course, get the voice</span>	<span class="note">купите курс, получите голос</span>
<p class="sec-intro">Nothing extra to buy and nothing to configure. Install the pack and it speaks.</p>	<p class="sec-intro">Ничего дополнительно покупать и настраивать не нужно. Установите набор — и он заговорит.</p>
<div class="meta">Germany · male</div>	<div class="meta">Германия · мужской</div>
<div class="where">Comes with <b>German Core</b> and both <b>German Pareto</b> courses.</div>	<div class="where">Входит в <b>German Core</b> и оба курса <b>German Pareto</b>.</div>
<div class="gloss">Your health is the most important thing in life — please always take good care of yourself.</div>	<div class="gloss">Ваше здоровье — самое важное в жизни, пожалуйста, всегда заботьтесь о себе!</div>
<div class="meta">Latin America · female</div>	<div class="meta">Латинская Америка · женский</div>
<div class="where">Comes with <b>Spanish Core</b> and both <b>Spanish Pareto</b> courses.</div>	<div class="where">Входит в состав <b>Spanish Core</b> и обоих курсов <b>Spanish Pareto</b>.</div>
<div class="gloss">She managed to overcome all obstacles thanks to her perseverance and effort.</div>	<div class="gloss">Она смогла преодолеть все препятствия благодаря своей настойчивости и усилиям.</div>
<div class="credit">es_MX-claude · Piper voices</div>	<div class="credit">es_MX-claude · голоса Piper</div>
<div class="meta">France · female</div>	<div class="meta">Франция · женский</div>
<div class="where">Comes with <b>French Core</b> and both <b>French Pareto</b> courses.</div>	<div class="where">Входит в состав <b>French Core</b> и обоих курсов <b>French Pareto</b>.</div>
<div class="gloss">There are markets everywhere in the country, and the salt and pepper are on the table.</div>	<div class="gloss">В стране повсюду рынки, а соль и перец — на столе.</div>
<div class="credit">SIWIS · Piper voices</div>	<div class="credit">SIWIS · Piper голоса</div>
<div class="meta">Italy · female</div>	<div class="meta">Италия · женский</div>
<div class="where">Comes with <b>Italian Core</b> and both <b>Italian Pareto</b> courses.</div>	<div class="where">Входит в состав <b>Italian Core</b> и обоих курсов <b>Italian Pareto</b>.</div>
