# affiliate.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><span class="here">promote</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><span class="here">партнёрство</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="resources.html">resources</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-affiliate">steam</a>\n  </span>	<span class="links">\n    <a href="manual/index.html">руководство (бета)</a>\n    <a href="resources.html">материалы</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-affiliate">Steam</a>\n  </span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-affiliate">steam</a>\n  </span>	<span class="nav-mobile">\n    <a href="home.html">главная</a>\n    <a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-affiliate">Steam</a>\n  </span>
<p class="kicker reveal">Promote FlashBoss</p>	<p class="kicker reveal">Партнёрство FlashBoss</p>
<h1 class="reveal">Steam UTM links<span class="cursor"></span></h1>	<h1 class="reveal">UTM-ссылки Steam<span class="cursor"></span></h1>
<p class="lede reveal">Create your own link to the FlashBoss store page for sales attribution. UTM — Urchin Tracking Module — tells Steam where a visitor has come from: A link with your tag on it, so Steam can trace the purchases that were made via your link.</p>	<p class="lede reveal">Создайте свою собственную ссылку на страницу FlashBoss в магазине для отслеживания продаж. UTM — Urchin Tracking Module — сообщает Steam, откуда пришёл посетитель: Ссылка с вашей меткой, чтобы Steam мог отслеживать покупки, совершённые по вашей ссылке.</p>
<a class="btn reveal" href="https://docs.google.com/forms/d/e/1FAIpQLSevUPVnTgDigj-z_9Sji4Ej4C8uhs_Rn3MsAtFgK7uJl0l1PA/viewform" target="_blank" rel="noopener">Register your link &rarr;</a>	<a class="btn reveal" href="https://docs.google.com/forms/d/e/1FAIpQLSevUPVnTgDigj-z_9Sji4Ej4C8uhs_Rn3MsAtFgK7uJl0l1PA/viewform" target="_blank" rel="noopener">Зарегистрировать ссылку &rarr;</a>
<h2>The Numbers</h2>	<h2>Цифры</h2>
<li><span class="k">Rate</span> $0.50 (USD) for every sale Steam attributes to your link. Flat.</li>	<li><span class="k">Ставка</span> $0,50 (USD) за каждую продажу, которую Steam приписывает вашей ссылке. Фиксированная.</li>
<li><span class="k">Minimum</span> €20 paid by Revolut within the EU; $100 paid internationally by PayPal, where transfer and exchange fees run higher. Either threshold rolls over indefinitely — nothing expires — and pays out the first cycle your balance clears it.</li>	<li><span class="k">Минимум</span> €20 выплачиваются через Revolut в пределах ЕС; $100 выплачиваются международно через PayPal, где комиссии за перевод и обмен выше. Любой из порогов переносится бессрочно — ничего не сгорает — и выплачивается в первом цикле, когда ваш баланс его достигает.</li>
<li><span class="k">Payout</span> monthly, on Steam's clock. Steam holds developer revenue until its refund window closes and settles roughly a month after month-end. The day that payment reaches me, you're paid — within the business week.</li>	<li><span class="k">Выплата</span> ежемесячно, по графику Steam. Steam удерживает доход разработчика до закрытия окна возвратов и переводит средства примерно через месяц после окончания месяца. В день, когда платёж поступает ко мне, вы получаете выплату — в течение рабочей недели.</li>
<li><span class="k">Refunds</span> handled upstream. Steam's payment to me is already net of refunds, so your cut comes from money that has cleared. No cancellation maths, nothing to claw back.</li>	<li><span class="k">Возвраты</span> обрабатываются на вышестоящем уровне. Платёж Steam ко мне уже очищен от возвратов, поэтому ваша доля поступает из денег, которые уже прошли. Никаких расчётов отмен, ничего не нужно отзывать.</li>
<li><span class="k">Method</span> Revolut (EU) or PayPal (international). You'll need one of them.</li>	<li><span class="k">Способ</span> Revolut (ЕС) или PayPal (международный). Вам понадобится один из них.</li>
<li><span class="k">Currency</span> amounts are figured in USD. For international PayPal payouts I'll convert to your local currency if you cover the transfer fee — and I'll confirm the exact numbers with you before each transfer.</li>	<li><span class="k">Валюта</span> суммы указываются в USD. Для международных выплат через PayPal я конвертирую в вашу местную валюту, если вы покрываете комиссию за перевод — и я подтвержу точные цифры с вами перед каждым переводом.</li>
<li><span class="k">Term</span> month to month — either side can end it at any time. When you leave you can take your balance even if it's under the threshold; you cover the PayPal transfer fee unless it tops $100, which I cover. Revolut payouts never carry that fee.</li>	<li><span class="k">Срок</span> помесячно — любая сторона может расторгнуть его в любое время. При уходе вы можете забрать ваш баланс, даже если он меньше порога; вы покрываете комиссию PayPal за перевод, если только он не превышает $100, которые покрываю я. Выплаты через Revolut никогда не несут этой комиссии.</li>
<span class="tag">the nuts and bolts</span>	<span class="tag">суть дела</span>
<h2>UTM Attribution</h2>	<h2>UTM-атрибуция</h2>
<p class="body">Steam credits a sale to your link only when the buyer was signed in to Steam in the browser where they clicked, and purchases within 72 hours.</p>	<p class="body">Steam засчитывает продажу по вашей ссылке только в том случае, если покупатель был авторизован в Steam в браузере, где он кликнул, и совершил покупку в течение 72 часов.</p>
<p class="body">So you are paid on the sales Steam can prove, not on every sale you influence. You'll get a report of your running total if it doesn't hit the threshold.</p>	<p class="body">Таким образом, вы получаете оплату только за те продажи, которые Steam может подтвердить, а не за каждую продажу, на которую вы повлияли. Вы получите отчёт о текущей сумме, если она не достигнет порога.</p>
<h2>How it works</h2>	<h2>Как это работает</h2>
<li>Register for a UTM link.</li>	<li>Зарегистрируйтесь для получения UTM-ссылки.</li>
<li>I confirm by email with your <b>start date</b>. Sales count from that day.</li>	<li>Я подтверждаю по электронной почте вашу <b>дату начала</b>. Продажи учитываются с этого дня.</li>
<li>You receive your unique <b>UTM link</b>.</li>	<li>Вы получаете свою уникальную <b>UTM-ссылку</b>.</li>
<li>Post it where your audience is — a channel, a forum, a class.</li>	<li>Разместите её там, где находится ваша аудитория — канал, форум, класс.</li>
<li>Once Steam settles the month, you're <b>paid within the business week</b>.</li>	<li>Как только Steam завершает расчеты за месяц, вы <b>получаете оплату в течение рабочей недели</b>.</li>
<span class="footer-links">\n    <a href="home.html">home</a><span class="div">·</span>\n    <a href="about.html">about</a><span class="div">·</span>\n    <a href="#" id="contact" title="copy email address">contact</a>\n  </span>	<span class="footer-links">\n    <a href="home.html">главная</a><span class="div">·</span>\n    <a href="about.html">о нас</a><span class="div">·</span>\n    <a href="#" id="contact" title="скопировать адрес электронной почты">контакты</a>\n  </span>
<title>Promote FlashBoss — Steam UTM Links</title>	<title>Продвижение FlashBoss — UTM-ссылки Steam</title>
content="Run a platform, or know people who'd benefit from FlashBoss? Register a UTM link to the FlashBoss store page and earn $0.50 per attributed sale, with transparent monthly payouts."	Управляете платформой или знаете людей, которым пригодится FlashBoss? Зарегистрируйте UTM-ссылку на страницу FlashBoss в магазине и получайте $0,50 за каждую привлеченную продажу с прозрачными ежемесячными выплатами.
title="copy email address"	скопировать адрес электронной почты
