# packs.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><span class="here">packs</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><span class="here">наборы</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="voices.html">voices</a>\n    <a href="resources.html">resources</a>\n    <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-packs">steam</a>\n  </span>	<span class="links"> <a href="manual/index.html">руководство (бета)</a> <a href="voices.html">голоса</a> <a href="resources.html">материалы</a> <a class="steam" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-packs">steam</a> </span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <span class="r"><a href="resources.html">resources</a><a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-packs">steam</a></span>\n  </span>	<span class="nav-mobile"> <a href="home.html">главная</a> <span class="r"><a href="resources.html">материалы</a><a href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-packs">steam</a></span> </span>
<h1>Current Pack List</h1>	<h1>Текущий список наборов</h1>
<p class="lede">The full catalogue of packs built and playable today — English, the Roots Series, and six foreign-language courses. For what's in progress and arriving soon, see the <a href="in-development.html">In Development</a> page.</p>	<p class="lede">Полный каталог наборов, созданных и доступных сегодня — английский, серия Roots и шесть курсов иностранных языков. О том, что в разработке и скоро появится, смотрите на странице <a href="in-development.html">В разработке</a>.</p>
<h2>English Language Packs</h2>	<h2>Наборы английского языка</h2>
<div class="subhead">Build on the English you have</div>	<div class="subhead">Развивайте свой английский</div>
<div class="name">English Advance<span class="free-inline">Free</span></div>	<div class="name">English Advance<span class="free-inline">Бесплатно</span></div>
<p>The practical English of adult life — forms, emails, official letters, and the small print nobody explains. 500 words.</p>	<p>Практический английский для взрослой жизни — бланки, электронные письма, официальные письма и мелкий шрифт, который никто не объясняет. 500 слов.</p>
<div class="acts">\n        <a class="act primary" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-packs">View on Steam &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=Advance">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=Advance">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-packs">Смотреть в Steam &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=Advance">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=Advance">Уроки</a>\n      </div>
<div class="name">English Adept<span class="free-inline">Free</span></div>	<div class="name">English Adept<span class="free-inline">Бесплатно</span></div>
<p>Precision English — the difference between stubborn and obstinate, agreement and consensus. 1,000 words to sharpen how you write and think.</p>	<p>Точный английский — разница между stubborn и obstinate, agreement и consensus. 1000 слов, чтобы отточить то, как вы пишете и думаете.</p>
<div class="acts">\n        <a class="act primary" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-packs">View on Steam &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=Adept">Word Lists</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=Adept">Lessons</a>\n      </div>	<div class="acts">\n        <a class="act primary" href="https://store.steampowered.com/app/4134440/FlashBoss/?utm_source=website-packs">Смотреть в Steam &rarr;</a>\n        <span class="chip-div"></span>\n        <a class="mini" href="wordlists.html?lang=English&amp;set=Adept">Списки слов</a>\n        <a class="mini" href="lessons.html?lang=English&amp;set=Adept">Уроки</a>\n      </div>
<div class="subhead">Learn English from your language</div>	<div class="subhead">Изучайте английский с вашего языка</div>
