# index.html — en<TAB>ru. Anchored with markup so short words can't clobber.
<title>FlashBoss — Flashcards with Boss Fights</title>	<title>FlashBoss — Карточки с босс-файтами</title>
content="FlashBoss — spaced-repetition flashcards with real boss fights. Five language courses: English, German, Spanish, Italian, and Esperanto. Now live on Steam."	content="FlashBoss — карточки с интервальным повторением и настоящими босс-файтами. Пять языковых курсов: английский, немецкий, испанский, итальянский и эсперанто. Уже в Steam."
content="FlashBoss — Flashcards with Boss Fights"	content="FlashBoss — Карточки с босс-файтами"
content="Spaced-repetition flashcards with real boss fights. Five language courses — English, German, Spanish, Italian, Esperanto. Now live on Steam."	content="Карточки с интервальным повторением и настоящими босс-файтами. Пять языковых курсов — английский, немецкий, испанский, итальянский, эсперанто. Уже в Steam."
content="Spaced-repetition flashcards with real boss fights. Five language courses, now live on Steam."	content="Карточки с интервальным повторением и настоящими босс-файтами. Пять языковых курсов — уже в Steam."
<p class="descriptor">Flashcards with Boss Fights</p>	<p class="descriptor">Карточки с босс-файтами</p>
aria-label="Enter FlashBoss"	aria-label="Войти в FlashBoss"
alt="Enter"	alt="Войти"
>Voices</a>	>Голоса</a>
>Packs</a>	>Наборы</a>
>Walkthrough (beta)</a>	>Руководство (бета)</a>
>Live on Steam</a>	>Уже в Steam</a>
>Report Errors</a>	>Сообщить об ошибке</a>
>BossFight</a>	>Босс-файт</a>
