# french.html — en<TAB>ru
<title>French — FlashBoss</title>	<title>Французский — FlashBoss</title>
content="FlashBoss French: all three packs out now — 3,000 words of Metropolitan French across fifteen tiers and 120 clusters, with 37 reference lessons, gender colour-coding with elision, and text-to-speech. Core, Pareto 1 and Pareto 2 on Steam."	content="FlashBoss Французский: все три набора уже вышли — 3000 слов континентального французского на пятнадцати уровнях и в 120 блоках, 37 справочных уроков, род существительного в цвете с учётом элизии и синтез речи. Core, Pareto 1 и Pareto 2 в Steam."
<span class="here">French</span>	<span class="here">французский</span>
<a href="home.html">home</a>	<a href="home.html">главная</a>
<a href="packs.html">packs</a>	<a href="packs.html">наборы</a>
>walkthrough (beta)</a>	>руководство (бета)</a>
>resources</a>	>материалы</a>
<p class="kicker reveal">All three packs out now · <b>3,000 words</b> · 120 clusters · 37 lessons</p>	<p class="kicker reveal">Все три набора уже вышли · <b>3000 слов</b> · 120 блоков · 37 уроков</p>
<p class="sig reveal">Listen · Read · Repeat · Rate · Fight</p>	<p class="sig reveal">Слушай · Читай · Повторяй · Оценивай · Сражайся</p>
>Word Lists</a>	>Списки слов</a>
>Lessons</a>	>Уроки</a>
>Try the demo</a>	>Попробовать демо</a>
<span class="tag">French core design</span>	<span class="tag">устройство French Core</span>
<p class="sub fr">Bonne continuation — keep going.</p>	<p class="sub fr">Bonne continuation — так держать.</p>
<p class="body">French Core is one road in, walked in five tiers. You start where everyone starts: greetings, the people in front of you, the body, the first verbs, food, numbers, the clock. Then the day widens — waking up, the town, the market, the calendar, the people you're closest to. By the fifth tier you're reading about law and administration, media, digital life, celebrations, and the fine shades of adjective that separate <span class="fr">joli</span> from <span class="fr">magnifique</span>.</p>	<p class="body">French Core — это одна дорога внутрь, пройденная за пять уровней. Вы начинаете там же, где все: приветствия, люди перед вами, тело, первые глаголы, еда, числа, часы. Потом день расширяется — пробуждение, город, рынок, календарь, самые близкие люди. К пятому уровню вы читаете про право и управление, СМИ, цифровую жизнь, праздники и те тонкие оттенки прилагательных, что отделяют <span class="fr">joli</span> от <span class="fr">magnifique</span>.</p>
