# norman-roots.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">Norman Roots</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">Norman Roots</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="resources.html">resources</a>\n    <a class="steam" href="https://store.steampowered.com/app/4587720/FlashBoss__Norman_Roots/?utm_source=website">steam</a>\n  </span>	<span class="links">\n    <a href="manual/index.html">руководство (бета)</a>\n    <a href="resources.html">материалы</a>\n    <a class="steam" href="https://store.steampowered.com/app/4587720/FlashBoss__Norman_Roots/?utm_source=website">steam</a>\n  </span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <span class="r"><a href="resources.html">resources</a><a href="https://store.steampowered.com/app/4587720/FlashBoss__Norman_Roots/?utm_source=website">steam</a></span>\n  </span>	<span class="nav-mobile">\n    <a href="home.html">главная</a>\n    <span class="r"><a href="resources.html">материалы</a><a href="https://store.steampowered.com/app/4587720/FlashBoss__Norman_Roots/?utm_source=website">steam</a></span>\n  </span>
<p class="kicker reveal">The Roots Series · <b>Norman</b></p>	<p class="kicker reveal">Серия Roots · <b>Norman</b></p>
<p class="tagline reveal">Why English has two words for everything.</p>	<p class="tagline reveal">Почему в английском два слова для всего.</p>
<p class="sig reveal">Listen · Read · Repeat · Rate · Fight</p>	<p class="sig reveal">Слушай · Читай · Повторяй · Оценивай · Сражайся</p>
<p class="lede reveal">Nobody decided English should keep two words for everything. But in 1066 the Normans took England, and for three hundred years the people spoke English while the court spoke French. English came out the far side with a whole second vocabulary stacked on the first — so you raise a <span class="sax">cow</span> in the field but eat <span class="nor">beef</span> at the table; you <span class="sax">wish</span> among friends but <span class="nor">desire</span> in a poem. Same meaning, a different register, eight hundred years apart.</p>	<p class="lede reveal">Никто не решал, что в английском должно быть два слова на всё. Но в 1066 году норманны захватили Англию, и в течение трёхсот лет народ говорил по-английски, а двор — по-французски. Английский вышел с другой стороны с целым вторым словарным запасом, наложенным на первый — так что вы растите <span class="sax">cow</span> в поле, но едите <span class="nor">beef</span> за столом; вы <span class="sax">wish</span> среди друзей, но <span class="nor">desire</span> в стихотворении. Тот же смысл, другой регистр, восемьсот лет разницы.</p>
<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=English&amp;set=Norman%20Roots">Word List</a>\n        <a class="btn" href="lessons.html?lang=English&amp;set=Norman%20Roots">Lessons</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Try the demo</a>\n      </div>	<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=English&amp;set=Norman%20Roots">Список слов</a>\n        <a class="btn" href="lessons.html?lang=English&amp;set=Norman%20Roots">Уроки</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Попробовать демо</a>\n      </div>
<span class="tag">1066 and after</span>	<span class="tag">1066 и после</span>
<h2>The second English</h2>	<h2>Второй английский</h2>
<p class="sub">One language, conquered, and layered with the tongue of its conquerors.</p>	<p class="sub">Один язык, завоёванный и наслоённый языком его завоевателей.</p>
<p class="body">In 1066 the Normans crossed the Channel and took England. For three hundred years the language of power was French — the people kept English, the court kept French, and when the two finally fused, English was left with something no other major language has: a complete <b>second vocabulary</b>, stacked on top of the first.</p>	<p class="body">В 1066 году норманны пересекли Ла-Манш и захватили Англию. На протяжении трёхсот лет языком власти был французский — народ сохранил английский, двор сохранил французский, и когда два языка наконец слились, английский получил то, чего нет ни у одного другого крупного языка: полный <b>второй словарный запас</b>, наложенный поверх первого.</p>
<p class="body">So English has <span class="sax">begin</span> and <span class="nor">commence</span>, <span class="sax">ask</span> and <span class="nor">demand</span>, <span class="sax">kingly</span> and <span class="nor">royal</span>. One word from each layer, side by side, meaning almost the same thing — but never quite. The Norman word carries a weight the plain one doesn't: a <span class="nor">mansion</span> outclasses a <span class="sax">house</span>; you raise a <span class="sax">cow</span> but eat <span class="nor">beef</span>. The same conquest left a kit of reusable parts — the suffixes <span class="fr">-tion, -ment, -age, -ance</span> that build thousands of words — and sound-seams you can still hear today.</p>	<p class="body">Итак, в английском есть <span class="sax">begin</span> и <span class="nor">commence</span>, <span class="sax">ask</span> и <span class="nor">demand</span>, <span class="sax">kingly</span> и <span class="nor">royal</span>. По одному слову из каждого слоя, рядом, означающие почти одно и то же — но не совсем. Нормандское слово несёт вес, которого нет у простого: <span class="nor">mansion</span> превосходит <span class="sax">house</span>; вы растите <span class="sax">cow</span>, но едите <span class="nor">beef</span>. Это же завоевание оставило набор многоразовых частей — суффиксы <span class="fr">-tion, -ment, -age, -ance</span>, из которых строятся тысячи слов — и звуковые швы, которые можно услышать и сегодня.</p>
<div class="h">The ground floor — Anglo-Saxon</div>	<div class="h">Первый этаж — англосаксонский</div>
<p>house, drink, fight, begin. Short, concrete, the words you think in — the half you already own.</p>	<p>house, drink, fight, begin. Короткие, конкретные, слова, на которых вы думаете — та половина, которой вы уже владеете.</p>
<div class="h">The upper floor — Norman</div>	<div class="h">Верхний этаж — Norman</div>
<p>govern, justice, cuisine, commence. Formal, institutional, the register of law and the court — the half a course has to build.</p>	<p>govern, justice, cuisine, commence. Формальный, институциональный, регистр закона и суда — та половина, которую курсу предстоит построить.</p>
<span class="tag">Two words, one meaning</span>	<span class="tag">Два слова, одно значение</span>
<h2>The doublet</h2>	<h2>Дублет</h2>
<p class="sub">Each pair is colour-coded by layer. Tap one for the story behind the split.</p>	<p class="sub">Каждая пара цветом кодируется по слою. Нажмите на одну, чтобы узнать историю расхождения.</p>
<div class="legend">\n        <span><i class="lsax"></i> Anglo-Saxon — the plain word</span>\n        <span><i class="lnor"></i> Norman-French — the formal word</span>\n      </div>	<div class="legend">\n        <span><i class="lsax"></i> Anglo-Saxon — простое слово</span>\n        <span><i class="lnor"></i> Norman-French — формальное слово</span>\n      </div>
<div class="gloss-top">the animal, and the meat</div>	<div class="gloss-top">животное и мясо</div>
<div class="parts">\n            <span class="m sax">cow<i>Anglo-Saxon · the field</i></span>\n            <span class="m nor">beef<i>Norman · the table</i></span>\n          </div>	<div class="parts">\n            <span class="m sax">cow<i>Англосаксонское · поле</i></span>\n            <span class="m nor">beef<i>Норманнское · стол</i></span>\n          </div>
<div class="sum">The Saxon herded the animal; the Norman ate the dish. The same split runs through calf/veal and deer/venison — alive on every menu.</div>	<div class="sum">Сакс пас животное; Норманн ел блюдо. То же разделение проходит через calf/veal и deer/venison — живо в каждом меню.</div>
<div class="hint">tap for the story</div>	<div class="hint">нажмите для истории</div>
<div class="gloss-top">to start something</div>	<div class="gloss-top">начать что-то</div>
<div class="parts">\n            <span class="m sax">begin<i>plain · anything</i></span>\n            <span class="m nor">commence<i>formal · ceremony &amp; law</i></span>\n          </div>	<div class="parts">\n            <span class="m sax">begin<i>обычный · что угодно</i></span>\n            <span class="m nor">commence<i>формальный · церемония &amp; закон</i></span>\n          </div>
<div class="sum">"Let's begin." / "The proceedings shall commence." Same act — but commence puts on a robe.</div>	<div class="sum">"Let's begin." / "The proceedings shall commence." То же действие — но commence надевает мантию.</div>
<div class="gloss-top">to want something</div>	<div class="gloss-top">хотеть что-то</div>
<div class="parts">\n            <span class="m sax">wish<i>plain · warm</i></span>\n            <span class="m nor">desire<i>formal · intense</i></span>\n          </div>	<div class="parts">\n            <span class="m sax">хотеть<i>простой · тёплый</i></span>\n            <span class="m nor">желать<i>формальный · сильный</i></span>\n          </div>
<div class="sum">The Norman twin turns up the register and the heat at once — a birthday wish, but the heart's desire.</div>	<div class="sum">Норманский близнец повышает и регистр, и накал одновременно — пожелание на день рождения, но заветное желание.</div>
<div class="whole"><span class="sax">hide</span><span class="vs">/</span><span class="nor">conceal</span></div>	<div class="whole"><span class="sax">прятать</span><span class="vs">/</span><span class="nor">скрывать</span></div>
<div class="gloss-top">to keep out of sight</div>	<div class="gloss-top">держать вне поля зрения</div>
<div class="parts">\n            <span class="m sax">hide<i>plain · everyday</i></span>\n            <span class="m nor">conceal<i>formal · deliberate</i></span>\n          </div>	<div class="parts">\n            <span class="m sax">прятать<i>простой · повседневный</i></span>\n            <span class="m nor">скрывать<i>формальный · обдуманный</i></span>\n          </div>
<div class="sum">You hide your keys; a witness conceals evidence. The Norman word is the one that turns up in the charge sheet.</div>	<div class="sum">Вы прячете ключи; свидетель скрывает улики. Норманское слово — то, которое появляется в обвинительном заключении.</div>
<h2>The same idea, twice</h2>	<h2>Одна и та же идея, дважды</h2>
<p class="sub">English rarely threw the old word away. It kept both — and handed you a register dial.</p>	<p class="sub">Английский редко выбрасывал старое слово. Он сохранял оба — и вручал вам регулятор стиля.</p>
<div class="head"><span class="hs">Anglo-Saxon · plain</span><span class="hn">Norman-French · formal</span></div>	<div class="head"><span class="hs">Англосаксонский · простой</span><span class="hn">Нормандско-французский · формальный</span></div>
<div class="k">cow</div>	<div class="k">корова</div>
<div class="v">&rarr; <b>beef</b> — the field animal becomes the dish</div>	<div class="v">&rarr; <b>говядина</b> — полевое животное становится блюдом</div>
<div class="k">calf</div>	<div class="k">телёнок</div>
<div class="v">&rarr; <b>veal</b> — same farm, French menu</div>	<div class="v">&rarr; <b>телятина</b> — та же ферма, французское меню</div>
<div class="k">deer</div>	<div class="k">олень</div>
<div class="v">&rarr; <b>venison</b> — the hunt, then the feast</div>	<div class="v">&rarr; <b>оленина</b> — охота, а затем пир</div>
<div class="v">&rarr; <b>purchase</b> — the counter vs the contract</div>	<div class="v">&rarr; <b>purchase</b> — прилавок против контракта</div>
<div class="v">&rarr; <b>liberty</b> — the plain right, the lofty ideal</div>	<div class="v">&rarr; <b>liberty</b> — простое право, возвышенный идеал</div>
<div class="v">&rarr; <b>profound</b> — a deep lake, a profound silence</div>	<div class="v">&rarr; <b>profound</b> — глубокое озеро, глубокая тишина</div>
<div class="v">&rarr; <b>perish</b> — the plain fact, the grave register</div>	<div class="v">&rarr; <b>perish</b> — простой факт, суровая запись</div>
<div class="v">&rarr; <b>commence</b> — the everyday vs the ceremonial</div>	<div class="v">&rarr; <b>commence</b> — повседневное vs церемониальное</div>
<h2>The seam you can still hear</h2>	<h2>Шов, который вы все еще слышите</h2>
<p class="sub">Twice over, one Latin word reached English by two roads — through Normandy and through Paris — and English, magpie that it is, kept both.</p>	<p class="sub">Дважды одно латинское слово достигло английского двумя путями — через Нормандию и через Париж — и английский, как сорока, сохранил оба.</p>
