# german-roots.html — en<TAB>ru. Drafted by deepseek-v4-flash, checked by qwen3-max, cross-refuted, Claude-adjudicated.
<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">home</a><span class="sep"> · </span><a href="packs.html">packs</a><span class="sep"> · </span><span class="here">German Roots</span></span>	<span class="brand"><a class="logo" href="index.html">FLASHBOSS</a><span class="pipe">|</span><a href="home.html">главная</a><span class="sep"> · </span><a href="packs.html">наборы</a><span class="sep"> · </span><span class="here">German Roots</span></span>
<span class="links">\n    <a href="manual/index.html">walkthrough (beta)</a>\n    <a href="resources.html">resources</a>\n    <a class="steam" href="https://store.steampowered.com/app/4475060/FlashBoss__German_Roots/?utm_source=website">steam</a>\n  </span>	<span class="links">\n    <a href="manual/index.html">руководство (бета)</a>\n    <a href="resources.html">материалы</a>\n    <a class="steam" href="https://store.steampowered.com/app/4475060/FlashBoss__German_Roots/?utm_source=website">steam</a>\n  </span>
<span class="nav-mobile">\n    <a href="home.html">home</a>\n    <span class="r"><a href="resources.html">resources</a><a href="https://store.steampowered.com/app/4475060/FlashBoss__German_Roots/?utm_source=website">steam</a></span>\n  </span>	<span class="nav-mobile">\n    <a href="home.html">главная</a>\n    <span class="r"><a href="resources.html">материалы</a><a href="https://store.steampowered.com/app/4475060/FlashBoss__German_Roots/?utm_source=website">steam</a></span>\n  </span>
<p class="kicker reveal">The Roots Series · <b>German</b></p>	<p class="kicker reveal">Серия Roots · <b>German</b></p>
<p class="tagline reveal">The half of English you already think in.</p>	<p class="tagline reveal">Половина английского, на котором вы уже думаете.</p>
<p class="sig reveal">Listen · Read · Repeat · Rate · Fight</p>	<p class="sig reveal">Слушай · Читай · Повторяй · Оценивай · Сражайся</p>
<p class="lede reveal">The words you reach for without thinking — <b>house, drink, fight, begin</b> — are the oldest in English, the layer that was already here before 1066. They are short, blunt, and they build: snap two together for <span class="rt">house</span><span class="af">hold</span> and <span class="af">fore</span><span class="rt">cast</span>, bolt on an ending for <span class="rt">king</span><span class="af">dom</span> and <span class="rt">fear</span><span class="af">less</span>. Learn how the pieces lock, and the everyday core of English opens like a hinge.</p>	<p class="lede reveal">Слова, к которым вы обращаетесь не задумываясь — <b>house, drink, fight, begin</b> — самые старые в английском, слой, который был здесь до 1066 года. Они короткие, резкие и складываются: соедините два для <span class="rt">house</span><span class="af">hold</span> и <span class="af">fore</span><span class="rt">cast</span>, прикрепите окончание для <span class="rt">king</span><span class="af">dom</span> и <span class="rt">fear</span><span class="af">less</span>. Узнайте, как соединяются части, и повседневная основа английского откроется как на шарнире.</p>
<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=English&amp;set=German%20Roots">Word List</a>\n        <a class="btn" href="lessons.html?lang=English&amp;set=German%20Roots">Lessons</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Try the demo</a>\n      </div>	<div class="actions reveal">\n        <a class="btn" href="wordlists.html?lang=English&amp;set=German%20Roots">Список слов</a>\n        <a class="btn" href="lessons.html?lang=English&amp;set=German%20Roots">Уроки</a>\n        <a class="btn" href="https://flashboss-demo.pages.dev/">Попробовать демо</a>\n      </div>
<span class="tag">the oldest layer</span>	<span class="tag">самый древний слой</span>
<h2>The words that were already here</h2>	<h2>Слова, которые уже были здесь</h2>
<p class="sub">Before the French, before the Latin — the Germanic bedrock of English.</p>	<p class="sub">До французского, до латыни — германская основа английского.</p>
